RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,40250,Taylor Pendrith,3.108,12.433,8.716,3.717,4
2,0,36884,Ben Kohles,2.858,11.433,7.532,3.901,4
3,0,27349,Alex Noren,2.608,10.433,7.594,2.839,4
4,0,33948,Byeong Hun An,2.358,9.433,6.275,3.158,4
4,0,50188,S.H. Kim,2.358,9.433,2.799,6.634,4
4,0,46414,Aaron Rai,2.358,9.433,8.324,1.109,4
4,0,48887,Matt Wallace,2.358,9.433,10.923,-1.490,4
8,0,47420,Jake Knapp,2.108,8.433,7.094,1.339,4
9,0,32070,Rafael Campos,1.858,7.433,3.821,3.612,4
9,0,32640,Troy Merritt,1.858,7.433,1.534,5.899,4
9,0,47888,Taiga Semikawa,1.858,7.433,3.258,4.175,4
9,0,32333,Kevin Tway,1.858,7.433,1.758,5.675,4
13,0,40026,Daniel Berger,1.608,6.433,6.010,.423,4
13,0,54591,Ben Griffin,1.608,6.433,4.168,2.265,4
13,0,51287,Ryo Hisatsune,1.608,6.433,2.461,3.972,4
13,0,37455,Si Woo Kim,1.608,6.433,7.545,-1.112,4
13,0,35879,Kelly Kraft,1.608,6.433,9.305,-2.872,4
13,0,47347,Adam Schenk,1.608,6.433,6.679,-.246,4
13,0,46340,Alex Smalley,1.608,6.433,7.323,-.890,4
20,0,46435,Austin Cook,1.358,5.433,-.568,6.001,4
20,0,36799,Stephan Jaeger,1.358,5.433,6.332,-.899,4
20,0,24024,Zach Johnson,1.358,5.433,-.204,5.637,4
20,0,39546,Keith Mitchell,1.358,5.433,7.855,-2.422,4
24,0,32367,Jorge Campillo,1.108,4.433,6.773,-2.340,4
24,0,51349,Nico Echavarria,1.108,4.433,4.410,.023,4
24,0,59095,Chris Gotterup,1.108,4.433,2.406,2.027,4
24,0,32757,Patton Kizzire,1.108,4.433,1.976,2.457,4
24,0,37378,Min Woo Lee,1.108,4.433,3.092,1.341,4
24,0,40162,Justin Lower,1.108,4.433,2.233,2.200,4
30,0,32366,Kevin Chappell,0.858,3.433,1.173,2.260,4
30,0,47663,Kevin Dougherty,0.858,3.433,3.514,-.081,4
30,0,50497,Adrien Dumont de Chassart,0.858,3.433,1.990,1.443,4
30,0,59866,Nick Dunlap,0.858,3.433,1.835,1.598,4
30,0,27129,Luke List,0.858,3.433,-.391,3.824,4
30,0,51950,Max McGreevy,0.858,3.433,6.927,-3.494,4
30,0,51997,Andrew Novak,0.858,3.433,1.575,1.858,4
30,0,47995,Davis Riley,0.858,3.433,.884,2.549,4
30,0,24502,Adam Scott,0.858,3.433,4.940,-1.507,4
30,0,54783,Dylan Wu,0.858,3.433,.161,3.272,4
30,0,52513,Carson Young,0.858,3.433,4.110,-.677,4
41,0,22371,Aaron Baddeley,0.608,2.433,2.073,.360,4
41,0,35532,Tom Hoge,0.608,2.433,6.839,-4.406,4
41,0,35506,Mackenzie Hughes,0.608,2.433,-3.784,6.217,4
41,0,27974,Sung Kang,0.608,2.433,1.272,1.161,4
41,0,46113,Ryan McCormick,0.608,2.433,-1.324,3.757,4
41,0,46442,Maverick McNealy,0.608,2.433,2.527,-.094,4
41,0,51894,Vince Whaley,0.608,2.433,-5.279,7.712,4
48,0,27936,Martin Laird,0.358,1.433,-1.470,2.903,4
48,0,33413,Ben Martin,0.358,1.433,-.725,2.158,4
48,0,27139,David Skinns,0.358,1.433,-1.786,3.219,4
48,0,27649,Brandt Snedeker,0.358,1.433,.440,.993,4
52,0,33408,Tyson Alexander,-0.142,-0.567,-7.114,6.547,4
52,0,55708,Hayden Buckley,-0.142,-0.567,1.182,-1.749,4
52,0,47079,Harrison Endycott,-0.142,-0.567,-2.156,1.589,4
52,0,35461,Beau Hossler,-0.142,-0.567,-3.578,3.011,4
52,0,36801,Mark Hubbard,-0.142,-0.567,-2.207,1.640,4
52,0,55182,Tom Kim,-0.142,-0.567,-1.882,1.315,4
52,0,25818,Scott Piercy,-0.142,-0.567,1.075,-1.642,4
59,0,28089,Jason Day,-0.392,-1.567,-3.027,1.460,4
59,0,32791,K.H. Lee,-0.392,-1.567,-3.276,1.709,4
59,0,29289,S.Y. Noh,-0.392,-1.567,-5.664,4.097,4
62,0,34076,Joel Dahmen,-0.642,-2.567,.702,-3.269,4
62,0,55893,Sam Stevens,-0.642,-2.567,-2.076,-.491,4
64,0,30163,Henrik Norlander,-0.892,-3.567,-2.467,-1.100,4
65,0,60895,Kris Kim,-1.142,-4.567,-1.262,-3.305,4
66,0,48319,Tom Whitney,-2.392,-9.567,-5.375,-4.192,4
