RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,48153,Matthieu Pavon,3.880,11.639,5.674,5.965,3
2,0,47420,Jake Knapp,3.213,9.639,8.129,1.510,3
3,0,56630,Akshay Bhatia,2.789,8.367,3.583,4.784,3
4,0,35461,Beau Hossler,2.546,7.639,2.668,4.971,3
4,0,50484,Hayden Springer,2.546,7.639,-.585,8.224,3
6,0,52453,Nicolai Højgaard,2.456,7.367,5.675,1.692,3
6,0,39977,Max Homa,2.456,7.367,5.684,1.683,3
6,0,28775,Nate Lashley,2.456,7.367,1.458,5.909,3
9,0,52955,Ludvig Åberg,2.213,6.639,5.509,1.130,3
9,0,59442,Parker Coody,2.213,6.639,6.837,-.198,3
9,0,52375,Doug Ghim,2.213,6.639,5.286,1.353,3
12,0,28420,Ryan Brehm,2.122,6.367,-.209,6.576,3
12,0,48081,Xander Schauffele,2.122,6.367,9.330,-2.963,3
14,0,34255,Joseph Bramlett,1.880,5.639,.001,5.638,3
14,0,36801,Mark Hubbard,1.880,5.639,7.566,-1.927,3
14,0,55789,Taylor Montgomery,1.880,5.639,-.220,5.859,3
17,0,32070,Rafael Campos,1.789,5.367,7.072,-1.705,3
17,0,57362,Austin Eckroat,1.789,5.367,-.285,5.652,3
17,0,29725,Tony Finau,1.789,5.367,8.284,-2.917,3
17,0,47483,Will Zalatoris,1.789,5.367,3.504,1.863,3
21,0,52514,Trace Crowe,1.456,4.367,1.091,3.276,3
21,0,47988,Nick Hardy,1.456,4.367,5.274,-.907,3
21,0,36799,Stephan Jaeger,1.456,4.367,5.958,-1.591,3
21,0,40250,Taylor Pendrith,1.456,4.367,3.814,.553,3
21,0,46441,Robby Shelton,1.456,4.367,5.993,-1.626,3
21,0,30692,Scott Stallings,1.456,4.367,-2.950,7.317,3
21,0,48319,Tom Whitney,1.456,4.367,4.880,-.513,3
28,0,31646,Emiliano Grillo,1.213,3.639,3.170,.469,3
28,0,40162,Justin Lower,1.213,3.639,4.036,-.397,3
28,0,32839,Hideki Matsuyama,1.213,3.639,7.260,-3.621,3
28,0,55893,Sam Stevens,1.213,3.639,4.083,-.444,3
28,0,45242,Kevin Yu,1.213,3.639,.746,2.893,3
33,0,47347,Adam Schenk,1.122,3.367,1.033,2.334,3
34,0,22371,Aaron Baddeley,0.880,2.639,-2.173,4.812,3
34,0,33653,Thomas Detry,0.880,2.639,-.777,3.416,3
34,0,34563,Chesson Hadley,0.880,2.639,-.210,2.849,3
34,0,52666,Sami Valimaki,0.880,2.639,1.013,1.626,3
38,0,36699,Patrick Rodgers,0.789,2.367,3.162,-.795,3
39,0,33204,Shane Lowry,0.546,1.639,1.555,.084,3
39,0,51634,Sahith Theegala,0.546,1.639,-.019,1.658,3
41,0,34374,Erik Barnes,0.456,1.367,-.261,1.628,3
41,0,60067,Joe Highsmith,0.456,1.367,-.655,2.022,3
41,0,54783,Dylan Wu,0.456,1.367,-2.103,3.470,3
44,0,33408,Tyson Alexander,0.213,0.639,.549,.090,3
44,0,39975,Michael Kim,0.213,0.639,3.126,-2.487,3
44,0,46442,Maverick McNealy,0.213,0.639,.456,.183,3
44,0,46414,Aaron Rai,0.213,0.639,-.017,.656,3
44,0,52513,Carson Young,0.213,0.639,.288,.351,3
49,0,33141,Keegan Bradley,0.122,0.367,2.586,-2.219,3
49,0,35532,Tom Hoge,0.122,0.367,-.853,1.220,3
49,0,37378,Min Woo Lee,0.122,0.367,.562,-.195,3
49,0,33413,Ben Martin,0.122,0.367,.957,-.590,3
53,0,59095,Chris Gotterup,-0.120,-0.361,.856,-1.217,3
53,0,51287,Ryo Hisatsune,-0.120,-0.361,3.405,-3.766,3
53,0,35506,Mackenzie Hughes,-0.120,-0.361,-.546,.185,3
53,0,22405,Justin Rose,-0.120,-0.361,-2.230,1.869,3
53,0,39327,Ben Silverman,-0.120,-0.361,1.921,-2.282,3
53,0,48119,Ben Taylor,-0.120,-0.361,-2.560,2.199,3
59,0,47663,Kevin Dougherty,-0.211,-0.633,-2.955,2.322,3
59,0,35310,Lanto Griffin,-0.211,-0.633,-4.069,3.436,3
59,0,50188,S.H. Kim,-0.211,-0.633,-2.480,1.847,3
59,0,27129,Luke List,-0.211,-0.633,2.110,-2.743,3
59,0,49947,Taylor Moore,-0.211,-0.633,.708,-1.341,3
64,0,29268,Bronson Burgoon,-0.454,-1.361,-.280,-1.081,3
64,0,51070,Vincent Norrman,-0.454,-1.361,-.986,-.375,3
64,0,38991,Alejandro Tosti,-0.454,-1.361,-6.365,5.004,3
67,0,60004,Jacob Bridgeman,-0.544,-1.633,-5.213,3.580,3
68,0,34099,Harris English,-0.787,-2.361,-1.243,-1.118,3
69,0,12716,Charley Hoffman,-0.878,-2.633,-2.707,.074,3
70,0,25198,Francesco Molinari,-1.211,-3.633,-.901,-2.732,3
70,0,47888,Taiga Semikawa,-1.211,-3.633,-3.119,-.514,3
