RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,47995,Davis Riley,4.334,17.337,11.423,5.914,4
2,16,33141,Keegan Bradley,3.084,12.337,7.725,4.612,4
2,6,46046,Scottie Scheffler,3.084,12.337,8.854,3.483,4
4,0,50525,Collin Morikawa,2.834,11.337,9.987,1.350,4
5,0,55708,Hayden Buckley,2.084,8.337,2.184,6.153,4
5,0,59836,Pierceson Coody,2.084,8.337,6.339,1.998,4
5,0,59143,Mac Meissner,2.084,8.337,7.510,.827,4
5,0,49960,Sepp Straka,2.084,8.337,8.380,-.043,4
9,0,39971,Sungjae Im,1.834,7.337,4.903,2.434,4
9,0,36326,David Lipsky,1.834,7.337,9.236,-1.899,4
9,0,46441,Robby Shelton,1.834,7.337,6.487,.850,4
12,31,25900,Lucas Glover,1.584,6.337,-.511,6.848,4
12,0,54628,Lee Hodges,1.584,6.337,3.777,2.560,4
12,0,57900,Chandler Phillips,1.584,6.337,2.886,3.451,4
12,0,49771,J.T. Poston,1.584,6.337,2.584,3.753,4
12,0,24502,Adam Scott,1.584,6.337,2.312,4.025,4
17,0,45522,Christiaan Bezuidenhout,1.334,5.337,.826,4.511,4
17,1,29725,Tony Finau,1.334,5.337,5.577,-.240,4
17,6,35532,Tom Hoge,1.334,5.337,8.900,-3.563,4
17,0,23108,Matt Kuchar,1.334,5.337,-1.576,6.913,4
17,6,46442,Maverick McNealy,1.334,5.337,6.503,-1.166,4
17,0,58168,Davis Thompson,1.334,5.337,5.410,-.073,4
17,56,38991,Alejandro Tosti,1.334,5.337,5.964,-.627,4
24,2,27644,Brian Harman,1.084,4.337,2.895,1.442,4
24,-16,29420,Billy Horschel,1.084,4.337,.999,3.338,4
24,2,55182,Tom Kim,1.084,4.337,4.412,-.075,4
24,2,37378,Min Woo Lee,1.084,4.337,3.093,1.244,4
24,0,47993,Denny McCarthy,1.084,4.337,-1.106,5.443,4
24,0,36871,Matt NeSmith,1.084,4.337,-.151,4.488,4
24,19,40115,Adam Svensson,1.084,4.337,3.185,1.152,4
24,0,32333,Kevin Tway,1.084,4.337,2.174,2.163,4
32,43,29936,Ryan Fox,0.834,3.337,2.688,.649,4
32,0,32791,K.H. Lee,0.834,3.337,-.942,4.279,4
32,7,46414,Aaron Rai,0.834,3.337,7.941,-4.604,4
32,-26,22405,Justin Rose,0.834,3.337,7.380,-4.043,4
32,0,39327,Ben Silverman,0.834,3.337,-1.350,4.687,4
37,0,34255,Joseph Bramlett,0.584,2.337,-.028,2.365,4
37,26,32102,Rickie Fowler,0.584,2.337,2.195,.142,4
37,0,27936,Martin Laird,0.584,2.337,.975,1.362,4
37,0,34466,Peter Malnati,0.584,2.337,-2.750,5.087,4
37,0,33413,Ben Martin,0.584,2.337,4.080,-1.743,4
37,0,39546,Keith Mitchell,0.584,2.337,2.635,-.298,4
37,0,29908,C.T. Pan,0.584,2.337,2.016,.321,4
37,6,34046,Jordan Spieth,0.584,2.337,5.252,-2.915,4
45,0,40026,Daniel Berger,0.334,1.337,1.546,-.209,4
45,0,24024,Zach Johnson,0.334,1.337,-1.279,2.616,4
45,0,32640,Troy Merritt,0.334,1.337,3.457,-2.120,4
45,0,36699,Patrick Rodgers,0.334,1.337,3.064,-1.727,4
45,15,31323,Gary Woodland,0.334,1.337,-3.056,4.393,4
50,-15,52375,Doug Ghim,0.084,0.337,.098,.239,4
50,0,12716,Charley Hoffman,0.084,0.337,3.995,-3.658,4
50,0,47679,Victor Perez,0.084,0.337,-.423,.760,4
50,0,29221,Webb Simpson,0.084,0.337,-.050,.387,4
50,0,27214,Kevin Streelman,0.084,0.337,2.739,-2.402,4
50,28,30927,Brendon Todd,0.084,0.337,-1.528,1.865,4
56,0,34076,Joel Dahmen,-0.166,-0.663,3.287,-3.950,4
56,0,45157,Cam Davis,-0.166,-0.663,-.837,.174,4
56,-52,33653,Thomas Detry,-0.166,-0.663,-2.399,1.736,4
56,0,45609,Tyler Duncan,-0.166,-0.663,-1.798,1.135,4
56,0,37455,Si Woo Kim,-0.166,-0.663,3.409,-4.072,4
61,0,59442,Parker Coody,-0.416,-1.663,-1.002,-.661,4
61,2,50188,S.H. Kim,-0.416,-1.663,-6.458,4.795,4
61,0,45242,Kevin Yu,-0.416,-1.663,2.671,-4.334,4
64,0,31646,Emiliano Grillo,-0.666,-2.663,-1.478,-1.185,4
65,0,47988,Nick Hardy,-0.916,-3.663,-1.005,-2.658,4
65,-39,36801,Mark Hubbard,-0.916,-3.663,-3.888,.225,4
65,0,29478,Kevin Kisner,-0.916,-3.663,-4.085,.422,4
65,0,50095,Austin Smotherman,-0.916,-3.663,-3.414,-.249,4
69,0,26596,Ryan Moore,-1.166,-4.663,-2.137,-2.526,4
70,0,51070,Vincent Norrman,-1.416,-5.663,-1.630,-4.033,4
70,0,48699,Callum Tarren,-1.416,-5.663,-2.042,-3.621,4
