RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,62,59141,Matt McCarty,3.781,15.125,8.541,6.584,4
2,21,36799,Stephan Jaeger,3.031,12.125,8.581,3.544,4
3,0,25900,Lucas Glover,2.781,11.125,13.894,-2.769,4
3,39,27214,Kevin Streelman,2.781,11.125,1.923,9.202,4
5,11,48867,Matti Schmid,2.531,10.125,3.426,6.699,4
6,0,34099,Harris English,2.281,9.125,3.976,5.149,4
6,49,60067,Joe Highsmith,2.281,9.125,3.162,5.963,4
8,20,47988,Nick Hardy,2.031,8.125,4.936,3.189,4
8,40,54628,Lee Hodges,2.031,8.125,9.317,-1.192,4
8,20,30163,Henrik Norlander,2.031,8.125,4.049,4.076,4
11,0,51349,Nico Echavarria,1.781,7.125,5.116,2.009,4
11,26,54591,Ben Griffin,1.781,7.125,6.396,.729,4
11,-10,35461,Beau Hossler,1.781,7.125,9.858,-2.733,4
11,0,51950,Max McGreevy,1.781,7.125,4.702,2.423,4
11,0,28252,Seamus Power,1.781,7.125,5.481,1.644,4
11,0,36699,Patrick Rodgers,1.781,7.125,1.369,5.756,4
11,0,51890,Greyson Sigg,1.781,7.125,5.272,1.853,4
11,0,48319,Tom Whitney,1.781,7.125,5.365,1.760,4
11,37,52513,Carson Young,1.781,7.125,2.241,4.884,4
11,0,55454,Carl Yuan,1.781,7.125,-.053,7.178,4
21,42,34255,Joseph Bramlett,1.531,6.125,10.246,-4.121,4
21,16,48084,Wesley Bryan,1.531,6.125,3.557,2.568,4
21,47,51696,Rico Hoey,1.531,6.125,5.116,1.009,4
21,0,47983,Chad Ramey,1.531,6.125,-1.946,8.071,4
25,0,45609,Tyler Duncan,1.281,5.125,-1.186,6.311,4
25,8,52375,Doug Ghim,1.281,5.125,8.148,-3.023,4
25,0,51287,Ryo Hisatsune,1.281,5.125,2.109,3.016,4
25,0,48117,Kurt Kitayama,1.281,5.125,12.748,-7.623,4
25,12,59143,Mac Meissner,1.281,5.125,8.060,-2.935,4
25,17,46601,Trey Mullinax,1.281,5.125,3.703,1.422,4
25,-20,46340,Alex Smalley,1.281,5.125,5.731,-.606,4
25,0,39324,J.J. Spaun,1.281,5.125,6.872,-1.747,4
25,0,40115,Adam Svensson,1.281,5.125,5.813,-.688,4
25,0,25493,Nick Taylor,1.281,5.125,3.260,1.865,4
35,-28,40026,Daniel Berger,1.031,4.125,4.061,.064,4
35,13,56762,Will Gordon,1.031,4.125,.192,3.933,4
35,0,57975,Harry Hall,1.031,4.125,1.069,3.056,4
35,0,30926,Chris Kirk,1.031,4.125,6.034,-1.909,4
35,0,32333,Kevin Tway,1.031,4.125,-.602,4.727,4
40,0,34076,Joel Dahmen,0.781,3.125,7.734,-4.609,4
40,0,54813,Philip Knowles,0.781,3.125,3.044,.081,4
40,0,37275,Sam Ryder,0.781,3.125,4.346,-1.221,4
43,-32,32757,Patton Kizzire,0.531,2.125,1.431,.694,4
43,0,38991,Alejandro Tosti,0.531,2.125,2.531,-.406,4
43,0,40006,Erik van Rooyen,0.531,2.125,-.228,2.353,4
46,-35,60004,Jacob Bridgeman,0.281,1.125,2.131,-1.006,4
46,0,52372,Cameron Champ,0.281,1.125,-.660,1.785,4
46,-35,29936,Ryan Fox,0.281,1.125,-1.149,2.274,4
46,0,56149,Wilson Furr,0.281,1.125,1.371,-.246,4
46,-13,34587,Chan Kim,0.281,1.125,-.808,1.933,4
46,-30,36884,Ben Kohles,0.281,1.125,2.242,-1.117,4
46,-23,32791,K.H. Lee,0.281,1.125,3.632,-2.507,4
46,0,50493,Justin Suh,0.281,1.125,1.007,.118,4
54,0,33408,Tyson Alexander,0.031,0.125,-6.074,6.199,4
54,-12,52514,Trace Crowe,0.031,0.125,-.770,.895,4
54,0,35310,Lanto Griffin,0.031,0.125,.749,-.624,4
54,0,47806,Raul Pereda,0.031,0.125,-2.104,2.229,4
54,0,25818,Scott Piercy,0.031,0.125,.965,-.840,4
54,0,26476,Chez Reavie,0.031,0.125,-7.232,7.357,4
60,0,34374,Erik Barnes,-0.469,-1.875,-6.146,4.271,4
61,-6,28775,Nate Lashley,-0.719,-2.875,-.321,-2.554,4
61,0,33486,Roger Sloan,-0.719,-2.875,-5.471,2.596,4
63,0,54328,Norman Xiong,-0.969,-3.875,3.119,-6.994,4
64,-9,34563,Chesson Hadley,-1.219,-4.875,-5.742,.867,4
64,0,50188,S.H. Kim,-1.219,-4.875,-9.027,4.152,4
66,0,40058,Zac Blair,-1.469,-5.875,-.750,-5.125,4
67,-51,51894,Vince Whaley,-1.719,-6.875,-8.885,2.010,4
68,0,34310,Alexander Björk,-1.969,-7.875,-3.440,-4.435,4
69,0,54783,Dylan Wu,-2.469,-9.875,-4.755,-5.120,4
