RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,27,50525,Collin Morikawa,3.117,12.467,9.818,2.649,4
2,46,51634,Sahith Theegala,2.867,11.467,9.020,2.447,4
3,30,46046,Scottie Scheffler,2.617,10.467,6.443,4.023,4
4,18,34098,Russell Henley,1.867,7.467,6.398,1.068,4
5,-3,24502,Adam Scott,1.617,6.467,.694,5.772,4
6,5,39971,Sungjae Im,1.367,5.467,6.244,-.778,4
7,32,33448,Justin Thomas,1.117,4.467,5.976,-1.510,4
8,5,51766,Wyndham Clark,0.867,3.467,2.571,.895,4
8,18,46717,Viktor Hovland,0.867,3.467,-.954,4.420,4
8,5,33204,Shane Lowry,0.867,3.467,.587,2.879,4
8,5,40250,Taylor Pendrith,0.867,3.467,-.531,3.997,4
12,-1,28237,Rory McIlroy,0.617,2.467,-1.046,3.512,4
13,-11,47504,Sam Burns,0.367,1.467,2.350,-.883,4
13,-8,48081,Xander Schauffele,0.367,1.467,2.707,-1.240,4
15,18,48153,Matthieu Pavon,0.117,0.467,-.487,.954,4
16,-11,30911,Tommy Fleetwood,-0.133,-0.533,-1.797,1.263,4
16,0,52215,Robert MacIntyre,-0.133,-0.533,-1.346,.812,4
16,0,32839,Hideki Matsuyama,-0.133,-0.533,1.738,-2.272,4
19,-17,52955,Ludvig Åberg,-0.633,-2.533,.681,-3.214,4
19,-6,35450,Patrick Cantlay,-0.633,-2.533,-.203,-2.331,4
21,-8,33948,Byeong Hun An,-0.883,-3.533,-.345,-3.189,4
21,22,46414,Aaron Rai,-0.883,-3.533,-.804,-2.729,4
23,-1,29420,Billy Horschel,-1.133,-4.533,-3.074,-1.460,4
24,21,56630,Akshay Bhatia,-1.633,-6.533,-5.928,-.606,4
24,-11,29725,Tony Finau,-1.633,-6.533,.151,-6.685,4
24,-15,30926,Chris Kirk,-1.633,-6.533,-3.529,-3.005,4
27,-26,33141,Keegan Bradley,-1.883,-7.533,-5.621,-1.913,4
27,-14,49960,Sepp Straka,-1.883,-7.533,-6.992,-.542,4
29,4,45522,Christiaan Bezuidenhout,-3.133,-12.533,-13.617,1.083,4
29,-16,35532,Tom Hoge,-3.133,-12.533,-9.123,-3.410,4
