RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,49771,J.T. Poston,3.822,15.288,9.779,5.509,4
2,23,52375,Doug Ghim,3.572,14.288,11.354,2.934,4
3,18,51696,Rico Hoey,3.072,12.288,7.686,4.602,4
3,2,48867,Matti Schmid,3.072,12.288,7.747,4.541,4
5,0,39975,Michael Kim,2.822,11.288,8.903,2.385,4
5,41,32791,K.H. Lee,2.822,11.288,6.404,4.884,4
5,0,58168,Davis Thompson,2.822,11.288,10.781,.507,4
8,0,40250,Taylor Pendrith,2.572,10.288,6.677,3.611,4
9,-3,34099,Harris English,2.322,9.288,3.907,5.381,4
9,26,57975,Harry Hall,2.322,9.288,3.612,5.676,4
9,16,48117,Kurt Kitayama,2.322,9.288,12.055,-2.767,4
9,34,38991,Alejandro Tosti,2.322,9.288,9.072,.216,4
9,0,31323,Gary Woodland,2.322,9.288,5.527,3.761,4
14,0,36801,Mark Hubbard,2.072,8.288,5.390,2.898,4
14,0,23108,Matt Kuchar,2.072,8.288,5.268,3.020,4
16,0,57593,Ian Gilligan,1.822,7.288,2.051,5.237,4
16,-10,60067,Joe Highsmith,1.822,7.288,4.824,2.464,4
16,0,46113,Ryan McCormick,1.822,7.288,3.514,3.774,4
16,0,46442,Maverick McNealy,1.822,7.288,8.260,-.972,4
16,38,25818,Scott Piercy,1.822,7.288,9.659,-2.371,4
16,0,34256,Andrew Putnam,1.822,7.288,3.538,3.750,4
16,51,51894,Vince Whaley,1.822,7.288,-1.475,8.763,4
23,0,32102,Rickie Fowler,1.572,6.288,6.069,.219,4
23,-12,35461,Beau Hossler,1.572,6.288,.078,6.210,4
23,0,29908,C.T. Pan,1.572,6.288,3.529,2.759,4
23,-2,47983,Chad Ramey,1.572,6.288,4.618,1.670,4
23,-12,51890,Greyson Sigg,1.572,6.288,5.888,.400,4
23,0,55893,Sam Stevens,1.572,6.288,4.304,1.984,4
29,17,60004,Jacob Bridgeman,1.322,5.288,1.804,3.484,4
29,25,35310,Lanto Griffin,1.322,5.288,-.627,5.915,4
29,32,28775,Nate Lashley,1.322,5.288,6.328,-1.040,4
29,0,49947,Taylor Moore,1.322,5.288,2.080,3.208,4
29,34,54328,Norman Xiong,1.322,5.288,1.883,3.405,4
34,0,34021,Bud Cauley,1.072,4.288,4.418,-.130,4
34,0,54576,Patrick Fishburn,1.072,4.288,4.163,.125,4
34,12,29936,Ryan Fox,1.072,4.288,2.329,1.959,4
34,0,26596,Ryan Moore,1.072,4.288,4.605,-.317,4
34,-9,39324,J.J. Spaun,1.072,4.288,4.328,-.040,4
39,-4,40026,Daniel Berger,0.822,3.288,-.383,3.671,4
39,0,59836,Pierceson Coody,0.822,3.288,-3.574,6.862,4
41,0,36326,David Lipsky,0.572,2.288,1.653,.635,4
41,0,27129,Luke List,0.572,2.288,1.690,.598,4
41,0,47995,Davis Riley,0.572,2.288,-2.906,5.194,4
41,0,63807,Neal Shipley,0.572,2.288,-1.148,3.436,4
45,0,59095,Chris Gotterup,0.322,1.288,6.104,-4.816,4
46,0,57362,Austin Eckroat,0.072,0.288,3.123,-2.835,4
46,0,47347,Adam Schenk,0.072,0.288,-5.795,6.083,4
46,0,50493,Justin Suh,0.072,0.288,.751,-.463,4
46,0,48119,Ben Taylor,0.072,0.288,-1.795,2.083,4
46,-3,40006,Erik van Rooyen,0.072,0.288,-5.934,6.222,4
51,13,50188,S.H. Kim,-0.178,-0.712,-.926,.214,4
52,-31,34255,Joseph Bramlett,-0.428,-1.712,9.065,-10.777,4
52,0,27064,Jhonattan Vegas,-0.428,-1.712,-.386,-1.326,4
54,-8,56149,Wilson Furr,-0.678,-2.712,-4.884,2.172,4
54,0,51734,Nicolo Galletti,-0.678,-2.712,1.884,-4.596,4
54,0,54421,Garrick Higgo,-0.678,-2.712,-3.301,.589,4
54,-29,25493,Nick Taylor,-0.678,-2.712,.617,-3.329,4
54,0,27770,Camilo Villegas,-0.678,-2.712,1.154,-3.866,4
59,0,25198,Francesco Molinari,-0.928,-3.712,-2.335,-1.377,4
59,0,39327,Ben Silverman,-0.928,-3.712,-5.465,1.753,4
61,5,40058,Zac Blair,-1.178,-4.712,-1.224,-3.488,4
61,-36,45609,Tyler Duncan,-1.178,-4.712,-6.140,1.428,4
63,-9,52514,Trace Crowe,-1.428,-5.712,-2.168,-3.544,4
64,0,29675,Dan McCarthy,-1.678,-6.712,-7.184,.472,4
65,-40,46340,Alex Smalley,-1.928,-7.712,-2.908,-4.804,4
66,0,27139,David Skinns,-2.428,-9.712,-7.615,-2.097,4
