RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,12716,Charley Hoffman,4.065,16.258,9.075,7.183,4
1,30,25493,Nick Taylor,4.065,16.258,7.324,8.934,4
3,15,47504,Sam Burns,3.315,13.258,9.035,4.223,4
3,5,46046,Scottie Scheffler,3.315,13.258,12.839,.419,4
5,19,51634,Sahith Theegala,3.065,12.258,8.737,3.521,4
6,44,46442,Maverick McNealy,2.315,9.258,7.716,1.542,4
6,31,34046,Jordan Spieth,2.315,9.258,4.186,5.072,4
8,2,48117,Kurt Kitayama,2.065,8.258,3.778,4.480,4
8,0,51997,Andrew Novak,2.065,8.258,5.063,3.195,4
8,4,24502,Adam Scott,2.065,8.258,6.594,1.664,4
8,65,57366,Cameron Young,2.065,8.258,3.044,5.214,4
12,0,52375,Doug Ghim,1.815,7.258,6.131,1.127,4
12,-6,37455,Si Woo Kim,1.815,7.258,6.616,.642,4
12,0,33448,Justin Thomas,1.815,7.258,6.910,.348,4
15,56,40098,Matt Fitzpatrick,1.565,6.258,3.879,2.379,4
15,0,58168,Davis Thompson,1.565,6.258,4.176,2.082,4
17,50,34099,Harris English,1.315,5.258,.707,4.551,4
17,-14,35532,Tom Hoge,1.315,5.258,3.196,2.062,4
17,41,55182,Tom Kim,1.315,5.258,4.527,.731,4
17,20,39546,Keith Mitchell,1.315,5.258,3.776,1.482,4
17,7,47347,Adam Schenk,1.315,5.258,1.602,3.656,4
22,32,31646,Emiliano Grillo,1.065,4.258,6.565,-2.307,4
22,39,32839,Hideki Matsuyama,1.065,4.258,2.618,1.640,4
22,-3,47993,Denny McCarthy,1.065,4.258,4.089,.169,4
22,0,50493,Justin Suh,1.065,4.258,1.442,2.816,4
22,19,30927,Brendon Todd,1.065,4.258,-2.590,6.848,4
22,0,27064,Jhonattan Vegas,1.065,4.258,5.028,-.770,4
28,0,22371,Aaron Baddeley,0.815,3.258,-3.259,6.517,4
28,0,40026,Daniel Berger,0.815,3.258,2.627,.631,4
28,-12,45522,Christiaan Bezuidenhout,0.815,3.258,4.314,-1.056,4
28,43,55708,Hayden Buckley,0.815,3.258,-.583,3.841,4
28,19,39997,Corey Conners,0.815,3.258,2.328,.930,4
28,19,33653,Thomas Detry,0.815,3.258,.227,3.031,4
28,48,54591,Ben Griffin,0.815,3.258,.884,2.374,4
28,3,50188,S.H. Kim,0.815,3.258,3.701,-.443,4
28,0,47420,Jake Knapp,0.815,3.258,.307,2.951,4
28,0,36852,Jim Knous,0.815,3.258,3.692,-.434,4
28,0,55893,Sam Stevens,0.815,3.258,1.499,1.759,4
39,-8,55789,Taylor Montgomery,0.565,2.258,-.705,2.963,4
39,22,49947,Taylor Moore,0.565,2.258,6.740,-4.482,4
41,-40,51766,Wyndham Clark,0.315,1.258,2.108,-.850,4
41,0,34076,Joel Dahmen,0.315,1.258,.329,.929,4
41,0,29936,Ryan Fox,0.315,1.258,-4.701,5.959,4
41,0,57975,Harry Hall,0.315,1.258,.569,.689,4
41,0,29420,Billy Horschel,0.315,1.258,-3.545,4.803,4
41,-17,35461,Beau Hossler,0.315,1.258,3.091,-1.833,4
41,0,52666,Sami Valimaki,0.315,1.258,2.269,-1.011,4
41,0,52513,Carson Young,0.315,1.258,3.778,-2.520,4
49,0,40058,Zac Blair,0.065,0.258,-.248,.506,4
49,0,32366,Kevin Chappell,0.065,0.258,-6.126,6.384,4
49,-43,47591,Eric Cole,0.065,0.258,-.854,1.112,4
49,0,54421,Garrick Higgo,0.065,0.258,-2.136,2.394,4
53,0,33408,Tyson Alexander,-0.186,-0.742,-1.189,.447,4
53,0,45609,Tyler Duncan,-0.186,-0.742,1.842,-2.584,4
53,-48,36801,Mark Hubbard,-0.186,-0.742,.915,-1.657,4
53,0,27936,Martin Laird,-0.186,-0.742,-1.154,.412,4
53,0,40162,Justin Lower,-0.186,-0.742,2.406,-3.148,4
53,-12,27349,Alex Noren,-0.186,-0.742,-1.174,.432,4
53,0,48887,Matt Wallace,-0.186,-0.742,1.024,-1.766,4
60,0,50497,Adrien Dumont de Chassart,-0.436,-1.742,2.032,-3.774,4
60,-6,27644,Brian Harman,-0.436,-1.742,-3.338,1.596,4
60,0,24024,Zach Johnson,-0.436,-1.742,-1.446,-.296,4
60,0,33204,Shane Lowry,-0.436,-1.742,1.351,-3.093,4
60,0,46441,Robby Shelton,-0.436,-1.742,-2.580,.838,4
65,0,34021,Bud Cauley,-0.686,-2.742,2.998,-5.740,4
66,-29,33948,Byeong Hun An,-0.936,-3.742,-.772,-2.970,4
66,-47,47988,Nick Hardy,-0.936,-3.742,-3.588,-.154,4
66,-47,39971,Sungjae Im,-0.936,-3.742,-.811,-2.931,4
66,0,28593,Jesse Mueller,-0.936,-3.742,-6.991,3.249,4
66,-25,28252,Seamus Power,-0.936,-3.742,2.883,-6.625,4
71,0,37378,Min Woo Lee,-1.186,-4.742,-3.818,-.924,4
71,0,36871,Matt NeSmith,-1.186,-4.742,-2.099,-2.643,4
73,0,51734,Nicolo Galletti,-1.686,-6.742,-.048,-6.694,4
