RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,30926,Chris Kirk,2.615,10.459,6.857,3.601,4
2,0,51634,Sahith Theegala,2.365,9.459,5.481,3.977,4
3,0,34046,Jordan Spieth,2.115,8.459,2.532,5.926,4
4,0,33948,Byeong Hun An,1.865,7.459,4.873,2.585,4
5,0,27644,Brian Harman,1.615,6.459,1.800,4.658,4
5,0,39971,Sungjae Im,1.615,6.459,3.058,3.400,4
5,0,50525,Collin Morikawa,1.615,6.459,8.497,-2.039,4
5,0,49771,J.T. Poston,1.615,6.459,3.487,2.971,4
5,0,46046,Scottie Scheffler,1.615,6.459,9.058,-2.600,4
10,0,28089,Jason Day,1.365,5.459,3.959,1.499,4
10,0,48081,Xander Schauffele,1.365,5.459,6.568,-1.110,4
12,0,35450,Patrick Cantlay,1.115,4.459,3.717,.741,4
12,0,49960,Sepp Straka,1.115,4.459,2.776,1.682,4
14,0,56630,Akshay Bhatia,0.865,3.459,-1.364,4.822,4
14,0,47591,Eric Cole,0.865,3.459,-.730,4.188,4
14,0,34099,Harris English,0.865,3.459,-.448,3.906,4
14,0,40098,Matt Fitzpatrick,0.865,3.459,.231,3.227,4
14,0,33399,Adam Hadwin,0.865,3.459,-1.112,4.570,4
14,0,34363,Tyrrell Hatton,0.865,3.459,2.124,1.334,4
14,0,39977,Max Homa,0.865,3.459,8.652,-5.194,4
14,0,36699,Patrick Rodgers,0.865,3.459,7.085,-3.627,4
22,0,46717,Viktor Hovland,0.615,2.459,-.332,2.790,4
22,0,27129,Luke List,0.615,2.459,-.198,2.656,4
22,0,40006,Erik van Rooyen,0.615,2.459,-2.584,5.042,4
25,0,51349,Nico Echavarria,0.365,1.459,-2.903,4.361,4
25,0,35506,Mackenzie Hughes,0.365,1.459,-1.333,2.791,4
25,0,37455,Si Woo Kim,0.365,1.459,1.657,-.199,4
25,0,49947,Taylor Moore,0.365,1.459,-.256,1.714,4
29,0,51766,Wyndham Clark,0.115,0.459,2.847,-2.389,4
29,0,25900,Lucas Glover,0.115,0.459,7.504,-7.046,4
29,0,48117,Kurt Kitayama,0.115,0.459,2.920,-2.462,4
29,0,47347,Adam Schenk,0.115,0.459,3.307,-2.849,4
33,0,47504,Sam Burns,-0.135,-0.541,-1.685,1.143,4
33,0,39997,Corey Conners,-0.135,-0.541,4.676,-5.218,4
33,0,40115,Adam Svensson,-0.135,-0.541,-1.065,.523,4
33,0,30927,Brendon Todd,-0.135,-0.541,-1.829,1.287,4
33,0,57366,Cameron Young,-0.135,-0.541,2.589,-3.131,4
38,0,29725,Tony Finau,-0.385,-1.541,1.068,-2.610,4
38,0,35532,Tom Hoge,-0.385,-1.541,-.868,-.674,4
40,0,34256,Andrew Putnam,-0.635,-2.541,-2.925,.383,4
40,0,22405,Justin Rose,-0.635,-2.541,-5.381,2.839,4
40,0,48887,Matt Wallace,-0.635,-2.541,-3.516,.974,4
43,0,31646,Emiliano Grillo,-0.885,-3.541,-3.916,.374,4
43,0,47993,Denny McCarthy,-0.885,-3.541,-1.686,-1.856,4
45,0,33141,Keegan Bradley,-1.135,-4.541,1.282,-5.824,4
45,0,55182,Tom Kim,-1.135,-4.541,.787,-5.329,4
47,0,52955,Ludvig Åberg,-1.385,-5.541,-2.138,-3.404,4
47,0,30911,Tommy Fleetwood,-1.385,-5.541,-3.824,-1.718,4
47,0,47988,Nick Hardy,-1.385,-5.541,-2.382,-3.160,4
50,0,28252,Seamus Power,-1.635,-6.541,-8.603,2.061,4
50,0,27770,Camilo Villegas,-1.635,-6.541,-10.683,4.141,4
52,0,45157,Cam Davis,-1.885,-7.541,-9.990,2.448,4
52,0,34098,Russell Henley,-1.885,-7.541,-5.362,-2.180,4
52,0,47995,Davis Riley,-1.885,-7.541,-8.699,1.157,4
52,0,25493,Nick Taylor,-1.885,-7.541,-7.313,-.229,4
56,0,32102,Rickie Fowler,-2.135,-8.541,-3.792,-4.750,4
57,0,54628,Lee Hodges,-2.385,-9.541,-4.358,-5.184,4
58,0,32839,Hideki Matsuyama,-2.635,-10.541,-1.052,-9.490,4
59,0,51070,Vincent Norrman,-3.135,-12.541,-7.047,-5.495,4
