RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,59866,Nick Dunlap,3.605,14.420,9.002,5.417,4
1,0,54576,Patrick Fishburn,3.605,14.420,8.143,6.276,4
3,0,51894,Vince Whaley,3.105,12.420,9.327,3.092,4
4,0,59143,Mac Meissner,2.855,11.420,9.118,2.301,4
5,0,40250,Taylor Pendrith,2.605,10.420,9.109,1.310,4
5,0,36699,Patrick Rodgers,2.605,10.420,7.595,2.824,4
7,0,47983,Chad Ramey,2.355,9.420,3.295,6.124,4
8,0,32757,Patton Kizzire,2.105,8.420,7.623,.796,4
8,0,30163,Henrik Norlander,2.105,8.420,8.810,-.391,4
10,0,55708,Hayden Buckley,1.855,7.420,8.587,-1.168,4
10,0,32366,Kevin Chappell,1.855,7.420,4.989,2.430,4
10,0,32344,Lukas Nemecz,1.855,7.420,2.510,4.909,4
13,0,45194,Marcus Armitage,1.605,6.420,3.196,3.223,4
13,0,51151,Todd Clements,1.605,6.420,4.120,2.299,4
13,0,51696,Rico Hoey,1.605,6.420,3.736,2.683,4
13,0,36801,Mark Hubbard,1.605,6.420,3.038,3.381,4
13,0,47420,Jake Knapp,1.605,6.420,.688,5.731,4
13,0,27936,Martin Laird,1.605,6.420,3.305,3.114,4
13,0,34256,Andrew Putnam,1.605,6.420,8.688,-2.269,4
13,0,58359,Mitchell Schow,1.605,6.420,2.763,3.656,4
13,0,39324,J.J. Spaun,1.605,6.420,6.489,-.070,4
13,0,50493,Justin Suh,1.605,6.420,5.413,1.006,4
13,0,31113,Paul Waring,1.605,6.420,7.562,-1.143,4
24,-3,51977,Max Greyserman,1.355,5.420,4.701,.718,4
24,0,34563,Chesson Hadley,1.355,5.420,4.570,.849,4
24,33,12716,Charley Hoffman,1.355,5.420,6.080,-.661,4
24,0,34587,Chan Kim,1.355,5.420,6.572,-1.153,4
24,0,39975,Michael Kim,1.355,5.420,5.812,-.393,4
24,0,50188,S.H. Kim,1.355,5.420,-.205,5.624,4
24,0,29289,S.Y. Noh,1.355,5.420,1.690,3.729,4
24,0,24140,Sean O'Hair,1.355,5.420,1.742,3.677,4
24,0,37275,Sam Ryder,1.355,5.420,4.955,.464,4
24,0,57737,Jayden Schaper,1.355,5.420,.537,4.882,4
24,33,55893,Sam Stevens,1.355,5.420,3.446,1.973,4
35,0,52372,Cameron Champ,1.105,4.420,1.264,3.155,4
35,0,39067,MJ Daffue,1.105,4.420,5.214,-.795,4
35,0,26476,Chez Reavie,1.105,4.420,1.550,2.869,4
35,0,48052,Max Rottluff,1.105,4.420,4.889,-.470,4
39,0,35310,Lanto Griffin,0.855,3.420,4.000,-.581,4
39,0,28775,Nate Lashley,0.855,3.420,.844,2.575,4
39,0,34371,Adrien Saddier,0.855,3.420,3.255,.164,4
39,0,46441,Robby Shelton,0.855,3.420,4.833,-1.414,4
39,0,46340,Alex Smalley,0.855,3.420,3.159,.260,4
39,0,48119,Ben Taylor,0.855,3.420,3.243,.176,4
45,0,57593,Ian Gilligan,0.605,2.420,5.849,-3.430,4
45,0,56762,Will Gordon,0.605,2.420,4.900,-2.481,4
45,0,57688,Casey Jarvis,0.605,2.420,3.577,-1.158,4
45,0,63807,Neal Shipley,0.605,2.420,8.958,-6.539,4
45,0,39327,Ben Silverman,0.605,2.420,4.538,-2.119,4
50,0,34255,Joseph Bramlett,0.355,1.420,6.222,-4.803,4
50,-29,30957,Max Kieffer,0.355,1.420,3.970,-2.551,4
50,0,27506,Oliver Wilson,0.355,1.420,4.458,-3.039,4
53,0,55509,Hurly Long,0.105,0.420,-3.733,4.152,4
53,0,38991,Alejandro Tosti,0.105,0.420,2.509,-2.090,4
55,0,48867,Matti Schmid,-0.145,-0.580,-.703,.122,4
56,0,52462,Chase Hanna,-0.395,-1.580,-8.052,6.471,4
56,0,32627,Espen Kofstad,-0.395,-1.580,-3.199,1.618,4
56,0,48929,Santiago Tarrio,-0.395,-1.580,-2.045,.464,4
59,0,60369,Sam Bairstow,-0.645,-2.580,-4.394,1.813,4
59,0,25818,Scott Piercy,-0.645,-2.580,-3.018,.437,4
61,0,28420,Ryan Brehm,-0.895,-3.580,-4.447,.866,4
61,0,57364,Michael Thorbjornsen,-0.895,-3.580,-2.088,-1.493,4
63,0,27095,Nick Watney,-1.145,-4.580,.559,-5.140,4
64,0,24980,Scott Gutschewski,-1.645,-6.580,-2.255,-4.326,4
64,0,34466,Peter Malnati,-1.645,-6.580,-5.306,-1.275,4
