RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,35461,Beau Hossler,3.130,12.519,7.476,5.043,4
1,0,45242,Kevin Yu,3.130,12.519,3.848,8.671,4
3,0,25900,Lucas Glover,2.880,11.519,6.855,4.664,4
3,0,39546,Keith Mitchell,2.880,11.519,5.925,5.594,4
5,0,34021,Bud Cauley,2.630,10.519,7.776,2.743,4
5,0,46340,Alex Smalley,2.630,10.519,7.467,3.052,4
7,0,40026,Daniel Berger,2.380,9.519,7.491,2.028,4
8,0,35506,Mackenzie Hughes,2.130,8.519,2.921,5.598,4
8,0,50484,Hayden Springer,2.130,8.519,-.301,8.820,4
8,0,57364,Michael Thorbjornsen,2.130,8.519,2.605,5.914,4
11,0,60004,Jacob Bridgeman,1.880,7.519,-.436,7.955,4
11,0,29936,Ryan Fox,1.880,7.519,3.506,4.013,4
11,0,31646,Emiliano Grillo,1.880,7.519,1.756,5.763,4
11,0,32757,Patton Kizzire,1.880,7.519,5.186,2.333,4
11,0,28252,Seamus Power,1.880,7.519,6.422,1.097,4
16,0,47591,Eric Cole,1.630,6.519,10.705,-4.186,4
16,0,32102,Rickie Fowler,1.630,6.519,2.762,3.757,4
16,0,36884,Ben Kohles,1.630,6.519,6.428,.091,4
16,0,48867,Matti Schmid,1.630,6.519,4.349,2.170,4
16,0,27649,Brandt Snedeker,1.630,6.519,1.186,5.333,4
16,0,51894,Vince Whaley,1.630,6.519,-.292,6.811,4
16,0,31323,Gary Woodland,1.630,6.519,11.136,-4.617,4
23,0,60065,Ryan Hall,1.380,5.519,2.542,2.977,4
23,0,36799,Stephan Jaeger,1.380,5.519,.450,5.069,4
23,0,32791,K.H. Lee,1.380,5.519,4.923,.596,4
23,0,51997,Andrew Novak,1.380,5.519,5.367,.152,4
23,0,27064,Jhonattan Vegas,1.380,5.519,2.348,3.171,4
28,0,59866,Nick Dunlap,1.130,4.519,6.131,-1.612,4
28,0,47988,Nick Hardy,1.130,4.519,4.314,.205,4
28,0,12716,Charley Hoffman,1.130,4.519,4.760,-.241,4
28,0,40162,Justin Lower,1.130,4.519,3.276,1.243,4
28,0,30163,Henrik Norlander,1.130,4.519,1.476,3.043,4
33,0,37212,Paul Barjon,0.880,3.519,-2.824,6.343,4
33,0,52375,Doug Ghim,0.880,3.519,5.200,-1.681,4
33,0,34587,Chan Kim,0.880,3.519,4.026,-.507,4
33,0,57900,Chandler Phillips,0.880,3.519,1.411,2.108,4
37,0,48084,Wesley Bryan,0.630,2.519,2.267,.252,4
37,0,54591,Ben Griffin,0.630,2.519,.240,2.279,4
37,0,59143,Mac Meissner,0.630,2.519,1.810,.709,4
37,0,27139,David Skinns,0.630,2.519,1.002,1.517,4
37,0,55893,Sam Stevens,0.630,2.519,-3.135,5.654,4
42,0,52514,Trace Crowe,0.380,1.519,1.572,-.053,4
42,0,27129,Luke List,0.380,1.519,-1.078,2.597,4
42,0,49947,Taylor Moore,0.380,1.519,-2.830,4.349,4
42,0,46601,Trey Mullinax,0.380,1.519,2.494,-.975,4
42,0,50095,Austin Smotherman,0.380,1.519,8.298,-6.779,4
42,0,27214,Kevin Streelman,0.380,1.519,3.744,-2.225,4
48,0,54576,Patrick Fishburn,0.130,0.519,1.108,-.589,4
48,0,56762,Will Gordon,0.130,0.519,3.806,-3.287,4
48,0,54628,Lee Hodges,0.130,0.519,3.128,-2.609,4
48,0,27936,Martin Laird,0.130,0.519,5.488,-4.969,4
48,0,37278,Nicholas Lindheim,0.130,0.519,-1.066,1.585,4
48,0,36871,Matt NeSmith,0.130,0.519,-.498,1.017,4
48,0,52513,Carson Young,0.130,0.519,.548,-.029,4
55,0,50497,Adrien Dumont de Chassart,-0.120,-0.481,2.340,-2.821,4
55,0,24924,Bill Haas,-0.120,-0.481,-.377,-.104,4
55,0,34563,Chesson Hadley,-0.120,-0.481,.275,-.756,4
55,0,60067,Joe Highsmith,-0.120,-0.481,2.696,-3.177,4
55,0,28775,Nate Lashley,-0.120,-0.481,.442,-.923,4
55,0,52374,Brandon Wu,-0.120,-0.481,3.026,-3.507,4
61,0,33486,Roger Sloan,-0.370,-1.481,-5.766,4.285,4
61,0,48699,Callum Tarren,-0.370,-1.481,-2.945,1.464,4
63,0,34255,Joseph Bramlett,-0.620,-2.481,2.987,-5.468,4
63,0,29535,Brice Garnett,-0.620,-2.481,1.072,-3.553,4
63,0,36801,Mark Hubbard,-0.620,-2.481,-3.008,.527,4
63,0,59141,Matt McCarty,-0.620,-2.481,-1.016,-1.465,4
63,0,52666,Sami Valimaki,-0.620,-2.481,-9.389,6.908,4
68,0,51696,Rico Hoey,-2.120,-8.481,-1.445,-7.036,4
