RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,48081,Xander Schauffele,4.534,18.135,13.475,4.661,4
2,0,47959,Bryson DeChambeau,4.284,17.135,13.170,3.966,4
3,21,46717,Viktor Hovland,3.784,15.135,12.578,2.558,4
4,0,33653,Thomas Detry,3.034,12.135,8.066,4.070,4
4,12,50525,Collin Morikawa,3.034,12.135,12.942,-.806,4
6,41,33204,Shane Lowry,2.784,11.135,2.021,9.115,4
6,46,22405,Justin Rose,2.784,11.135,3.566,7.570,4
8,44,29420,Billy Horschel,2.534,10.135,3.536,6.600,4
8,0,52215,Robert MacIntyre,2.534,10.135,6.588,3.548,4
8,0,46046,Scottie Scheffler,2.534,10.135,10.276,-.140,4
8,13,33448,Justin Thomas,2.534,10.135,13.628,-3.492,4
12,0,33974,Dean Burmester,2.284,9.135,9.392,-.256,4
12,12,54628,Lee Hodges,2.284,9.135,6.540,2.596,4
12,-11,28237,Rory McIlroy,2.284,9.135,8.915,.221,4
12,26,49947,Taylor Moore,2.284,9.135,2.956,6.180,4
12,12,27349,Alex Noren,2.284,9.135,7.915,1.221,4
12,40,51634,Sahith Theegala,2.284,9.135,3.061,6.075,4
18,3,33141,Keegan Bradley,2.034,8.135,7.771,.365,4
18,45,57362,Austin Eckroat,2.034,8.135,2.214,5.922,4
18,16,34099,Harris English,2.034,8.135,.548,7.588,4
18,34,29725,Tony Finau,2.034,8.135,8.562,-.426,4
18,0,51287,Ryo Hisatsune,2.034,8.135,3.787,4.349,4
23,-13,34098,Russell Henley,1.784,7.135,6.883,.253,4
23,15,35532,Tom Hoge,1.784,7.135,4.327,2.809,4
23,0,46442,Maverick McNealy,1.784,7.135,6.272,.864,4
26,-13,39997,Corey Conners,1.534,6.135,7.156,-1.020,4
26,-13,30911,Tommy Fleetwood,1.534,6.135,3.059,3.077,4
26,21,27644,Brian Harman,1.534,6.135,5.068,1.068,4
26,0,36801,Mark Hubbard,1.534,6.135,2.315,3.821,4
26,21,55182,Tom Kim,1.534,6.135,3.468,2.668,4
26,8,48117,Kurt Kitayama,1.534,6.135,8.030,-1.894,4
26,0,36689,Brooks Koepka,1.534,6.135,5.167,.969,4
26,32,36884,Ben Kohles,1.534,6.135,.141,5.995,4
26,0,37378,Min Woo Lee,1.534,6.135,1.697,4.439,4
35,0,29535,Brice Garnett,1.284,5.135,7.924,-2.788,4
35,0,52375,Doug Ghim,1.284,5.135,6.503,-1.367,4
35,-27,39977,Max Homa,1.284,5.135,4.176,.960,4
35,0,32839,Hideki Matsuyama,1.284,5.135,3.486,1.650,4
39,0,34310,Alexander Björk,1.034,4.135,.555,3.581,4
39,0,45486,Joaquin Niemann,1.034,4.135,10.151,-6.015,4
39,0,46414,Aaron Rai,1.034,4.135,5.700,-1.564,4
39,0,46464,Jordan Smith,1.034,4.135,5.719,-1.583,4
43,-40,33948,Byeong Hun An,0.784,3.135,2.900,.236,4
43,-39,28089,Jason Day,0.784,3.135,.213,2.923,4
43,-27,25900,Lucas Glover,0.784,3.135,3.235,-.099,4
43,0,39058,Lucas Herbert,0.784,3.135,-1.413,4.549,4
43,0,30925,Dustin Johnson,0.784,3.135,-.546,3.682,4
43,-33,34213,Grayson Murray,0.784,3.135,5.696,-2.560,4
43,-14,34046,Jordan Spieth,0.784,3.135,4.645,-1.509,4
43,4,40115,Adam Svensson,0.784,3.135,7.256,-4.120,4
43,0,48887,Matt Wallace,0.784,3.135,1.935,1.201,4
43,17,47483,Will Zalatoris,0.784,3.135,2.105,1.031,4
53,0,40058,Zac Blair,0.534,2.135,-3.875,6.011,4
53,-24,35450,Patrick Cantlay,0.534,2.135,3.369,-1.233,4
53,0,33968,Thorbjørn Olesen,0.534,2.135,-1.298,3.434,4
53,-24,34256,Andrew Putnam,0.534,2.135,-.295,2.431,4
53,0,34360,Patrick Reed,0.534,2.135,3.160,-1.024,4
53,0,57586,Jesper Svensson,0.534,2.135,-2.458,4.594,4
53,0,40006,Erik van Rooyen,0.534,2.135,-.017,2.153,4
60,0,46402,Talor Gooch,0.284,1.135,-3.453,4.589,4
60,-8,33399,Adam Hadwin,0.284,1.135,2.619,-1.483,4
60,-22,31323,Gary Woodland,0.284,1.135,.910,.226,4
63,-20,32102,Rickie Fowler,0.034,0.135,.541,-.405,4
63,0,34363,Tyrrell Hatton,0.034,0.135,-1.047,1.183,4
63,0,50188,S.H. Kim,0.034,0.135,1.470,-1.334,4
63,0,35891,Cameron Smith,0.034,0.135,2.741,-2.605,4
63,-29,57366,Cameron Young,0.034,0.135,-.782,.918,4
68,0,23983,Luke Donald,-0.216,-0.865,-2.170,1.306,4
68,0,52453,Nicolai Højgaard,-0.216,-0.865,1.164,-2.028,4
68,0,52686,Rasmus Højgaard,-0.216,-0.865,-1.051,.187,4
68,0,46405,Sebastian Soderberg,-0.216,-0.865,-.124,-.740,4
72,0,63181,Braden Shattuck,-0.466,-1.865,-12.024,10.160,4
73,0,27408,Martin Kaymer,-0.716,-2.865,-3.479,.615,4
73,0,38991,Alejandro Tosti,-0.716,-2.865,-8.682,5.818,4
75,0,29936,Ryan Fox,-1.216,-4.865,-3.072,-1.792,4
76,-55,36799,Stephan Jaeger,-1.966,-7.865,-6.202,-1.662,4
77,0,46628,Jeremy Wells,-2.216,-8.865,-9.286,.422,4
78,-18,30927,Brendon Todd,-2.966,-11.865,-3.257,-8.607,4
