RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,51349,Nico Echavarria,3.636,14.544,10.272,4.272,4
2,0,51977,Max Greyserman,3.386,13.544,3.160,10.383,4
2,0,33448,Justin Thomas,3.386,13.544,14.314,-.770,4
4,19,32102,Rickie Fowler,2.886,11.544,3.908,7.636,4
5,4,48117,Kurt Kitayama,2.386,9.544,9.038,.505,4
6,0,47591,Eric Cole,1.886,7.544,2.714,4.830,4
6,0,37455,Si Woo Kim,1.886,7.544,3.082,4.461,4
6,17,29908,C.T. Pan,1.886,7.544,6.025,1.518,4
6,28,39324,J.J. Spaun,1.886,7.544,4.520,3.023,4
6,0,54218,Yuta Sugiura,1.886,7.544,6.642,.901,4
11,18,49947,Taylor Moore,1.636,6.544,5.038,1.506,4
11,41,27064,Jhonattan Vegas,1.636,6.544,4.291,2.252,4
13,-4,57975,Harry Hall,1.386,5.544,2.264,3.280,4
13,0,39971,Sungjae Im,1.386,5.544,4.639,.905,4
13,0,28252,Seamus Power,1.386,5.544,-.409,5.952,4
16,0,54628,Lee Hodges,1.136,4.544,5.235,-.691,4
16,13,28775,Nate Lashley,1.136,4.544,2.260,2.284,4
16,25,27129,Luke List,1.136,4.544,.715,3.829,4
16,0,51997,Andrew Novak,1.136,4.544,7.807,-3.263,4
16,0,66583,Taisei Shimizu,1.136,4.544,4.292,.251,4
16,0,45242,Kevin Yu,1.136,4.544,5.543,-1.000,4
22,0,54591,Ben Griffin,0.886,3.544,5.795,-2.251,4
22,-19,51696,Rico Hoey,0.886,3.544,3.467,.076,4
22,0,48632,Yuto Katsuragawa,0.886,3.544,4.093,-.549,4
22,1,55893,Sam Stevens,0.886,3.544,1.810,1.733,4
22,0,56100,Ren Yonezawa,0.886,3.544,.775,2.768,4
27,-25,52375,Doug Ghim,0.636,2.544,2.413,.131,4
27,0,39977,Max Homa,0.636,2.544,-.474,3.017,4
27,0,34500,Ryosuke Kinoshita,0.636,2.544,-.554,3.097,4
27,0,37378,Min Woo Lee,0.636,2.544,4.019,-1.475,4
27,0,59143,Mac Meissner,0.636,2.544,1.769,.774,4
27,-11,34256,Andrew Putnam,0.636,2.544,1.542,1.001,4
33,0,47679,Victor Perez,0.386,1.544,1.555,-.011,4
33,0,57900,Chandler Phillips,0.386,1.544,-1.672,3.215,4
33,21,25493,Nick Taylor,0.386,1.544,4.640,-3.097,4
33,-24,31323,Gary Woodland,0.386,1.544,-2.138,3.682,4
37,-3,54576,Patrick Fishburn,0.136,0.544,-.287,.830,4
37,0,47917,Takumi Kanaya,0.136,0.544,-1.361,1.905,4
37,-23,23108,Matt Kuchar,0.136,0.544,4.838,-4.294,4
37,0,52513,Carson Young,0.136,0.544,-.567,1.110,4
41,0,34076,Joel Dahmen,-0.114,-0.456,2.437,-2.894,4
41,-27,36801,Mark Hubbard,-0.114,-0.456,-.093,-.363,4
41,0,46879,Naoyuki Kataoka,-0.114,-0.456,-3.641,3.184,4
41,0,48081,Xander Schauffele,-0.114,-0.456,-.132,-.325,4
41,0,47483,Will Zalatoris,-0.114,-0.456,-2.042,1.586,4
46,15,40058,Zac Blair,-0.364,-1.456,.892,-2.348,4
46,0,49120,Kensei Hirata,-0.364,-1.456,.986,-2.443,4
46,0,51287,Ryo Hisatsune,-0.364,-1.456,-7.025,5.568,4
46,5,50188,S.H. Kim,-0.364,-1.456,-4.464,3.007,4
46,0,32839,Hideki Matsuyama,-0.364,-1.456,1.159,-2.615,4
46,-23,47983,Chad Ramey,-0.364,-1.456,-2.666,1.210,4
46,13,39327,Ben Silverman,-0.364,-1.456,2.414,-3.870,4
46,0,40115,Adam Svensson,-0.364,-1.456,2.555,-4.012,4
54,0,34587,Chan Kim,-0.614,-2.456,4.197,-6.653,4
54,0,50525,Collin Morikawa,-0.614,-2.456,-.052,-2.404,4
56,0,35532,Tom Hoge,-0.864,-3.456,-2.237,-1.220,4
56,-33,35461,Beau Hossler,-0.864,-3.456,-5.701,2.244,4
56,0,32775,Shugo Imahira,-0.864,-3.456,-2.039,-1.417,4
56,0,30852,Ryo Ishikawa,-0.864,-3.456,-9.286,5.829,4
56,0,36884,Ben Kohles,-0.864,-3.456,.289,-3.746,4
56,0,40162,Justin Lower,-0.864,-3.456,-6.228,2.771,4
56,0,51634,Sahith Theegala,-0.864,-3.456,-.098,-3.358,4
63,-58,32791,K.H. Lee,-1.114,-4.456,-.044,-4.412,4
64,0,32816,Satoshi Kodaira,-1.364,-5.456,-4.139,-1.317,4
65,-31,29936,Ryan Fox,-1.614,-6.456,-.615,-5.841,4
65,0,12716,Charley Hoffman,-1.614,-6.456,-1.804,-4.652,4
67,0,36699,Patrick Rodgers,-1.864,-7.456,-6.981,-.476,4
67,-21,47347,Adam Schenk,-1.864,-7.456,-6.255,-1.202,4
67,0,52666,Sami Valimaki,-1.864,-7.456,-6.358,-1.099,4
70,0,27747,Hiroshi Iwata,-2.114,-8.456,-7.722,-.735,4
71,-26,59095,Chris Gotterup,-2.364,-9.456,-2.059,-7.397,4
71,0,32686,Takahiro Hataji,-2.364,-9.456,-3.224,-6.232,4
73,-32,47995,Davis Riley,-3.364,-13.456,-8.557,-4.900,4
74,0,46270,Takashi Ogiso,-3.614,-14.456,-7.584,-6.872,4
75,0,30927,Brendon Todd,-3.864,-15.456,-18.171,2.715,4
76,-10,27139,David Skinns,-4.114,-16.456,-10.558,-5.899,4
77,0,55623,Kaito Onishi,-5.364,-21.456,-19.282,-2.175,4
