RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,10,56630,Akshay Bhatia,5.289,21.154,18.794,2.359,4
1,0,47993,Denny McCarthy,5.289,21.154,13.765,7.388,4
3,0,28237,Rory McIlroy,3.039,12.154,10.194,1.959,4
4,0,34098,Russell Henley,2.789,11.154,9.825,1.328,4
5,0,47347,Adam Schenk,2.539,10.154,3.895,6.258,4
5,0,30927,Brendon Todd,2.539,10.154,6.842,3.311,4
7,0,30911,Tommy Fleetwood,2.289,9.154,10.567,-1.414,4
7,0,33413,Ben Martin,2.289,9.154,5.887,3.266,4
7,0,32839,Hideki Matsuyama,2.289,9.154,11.216,-2.063,4
10,0,40098,Matt Fitzpatrick,1.789,7.154,2.908,4.245,4
10,0,58696,Peter Kuest,1.789,7.154,3.265,3.888,4
10,0,59143,Mac Meissner,1.789,7.154,8.075,-.922,4
10,0,34046,Jordan Spieth,1.789,7.154,6.048,1.105,4
14,0,52955,Ludvig Åberg,1.539,6.154,8.148,-1.995,4
14,50,33408,Tyson Alexander,1.539,6.154,1.385,4.768,4
14,0,51696,Rico Hoey,1.539,6.154,3.644,2.509,4
14,39,34587,Chan Kim,1.539,6.154,6.103,.050,4
14,31,50188,S.H. Kim,1.539,6.154,-2.474,8.627,4
14,0,39546,Keith Mitchell,1.539,6.154,4.769,1.384,4
14,-3,27349,Alex Noren,1.539,6.154,8.260,-2.107,4
14,0,33968,Thorbjørn Olesen,1.539,6.154,7.649,-1.496,4
14,0,34256,Andrew Putnam,1.539,6.154,4.408,1.745,4
14,0,24502,Adam Scott,1.539,6.154,-1.004,7.157,4
14,43,55893,Sam Stevens,1.539,6.154,2.986,3.167,4
25,0,45522,Christiaan Bezuidenhout,1.289,5.154,1.002,4.151,4
25,0,39997,Corey Conners,1.289,5.154,7.303,-2.150,4
25,0,25900,Lucas Glover,1.289,5.154,8.783,-3.630,4
25,32,47988,Nick Hardy,1.289,5.154,4.089,1.064,4
25,0,27644,Brian Harman,1.289,5.154,-2.326,7.479,4
25,0,39977,Max Homa,1.289,5.154,3.203,1.950,4
25,6,36801,Mark Hubbard,1.289,5.154,7.216,-2.063,4
25,3,40162,Justin Lower,1.289,5.154,.997,4.156,4
33,0,34310,Alexander Björk,1.039,4.154,-1.727,5.880,4
33,0,32366,Kevin Chappell,1.039,4.154,2.846,1.307,4
33,0,57362,Austin Eckroat,1.039,4.154,5.873,-1.720,4
33,36,54421,Garrick Higgo,1.039,4.154,-3.188,7.341,4
33,0,26476,Chez Reavie,1.039,4.154,2.567,1.586,4
33,0,46441,Robby Shelton,1.039,4.154,2.123,2.030,4
39,43,22371,Aaron Baddeley,0.789,3.154,3.638,-.485,4
39,6,34021,Bud Cauley,0.789,3.154,.128,3.025,4
39,0,20229,Stewart Cink,0.789,3.154,-1.288,4.441,4
39,-3,54591,Ben Griffin,0.789,3.154,1.661,1.492,4
39,-18,28775,Nate Lashley,0.789,3.154,4.439,-1.286,4
39,0,45242,Kevin Yu,0.789,3.154,8.663,-5.510,4
45,-14,26596,Ryan Moore,0.539,2.154,2.899,-.746,4
45,38,51070,Vincent Norrman,0.539,2.154,2.911,-.758,4
45,-28,47679,Victor Perez,0.539,2.154,-.149,2.302,4
45,0,29221,Webb Simpson,0.539,2.154,1.247,.906,4
45,0,27214,Kevin Streelman,0.539,2.154,-1.697,3.850,4
45,-24,58168,Davis Thompson,0.539,2.154,-1.676,3.829,4
51,0,45609,Tyler Duncan,0.289,1.154,5.504,-4.351,4
51,6,35310,Lanto Griffin,0.289,1.154,4.659,-3.506,4
51,-30,60067,Joe Highsmith,0.289,1.154,1.158,-.005,4
51,-20,27936,Martin Laird,0.289,1.154,4.180,-3.027,4
51,0,29908,C.T. Pan,0.289,1.154,1.998,-.845,4
51,-15,39324,J.J. Spaun,0.289,1.154,3.643,-2.490,4
51,6,40115,Adam Svensson,0.289,1.154,2.402,-1.249,4
58,0,29268,Bronson Burgoon,0.039,0.154,5.509,-5.356,4
58,0,59442,Parker Coody,0.039,0.154,-2.394,2.547,4
58,-30,57975,Harry Hall,0.039,0.154,-.035,.188,4
58,0,36326,David Lipsky,0.039,0.154,.417,-.264,4
58,0,46442,Maverick McNealy,0.039,0.154,1.340,-1.187,4
58,-5,51997,Andrew Novak,0.039,0.154,4.125,-3.972,4
58,-51,46414,Aaron Rai,0.039,0.154,-1.643,1.796,4
58,0,50484,Hayden Springer,0.039,0.154,-.476,.629,4
58,0,27330,Josh Teater,0.039,0.154,.415,-.262,4
58,20,54783,Dylan Wu,0.039,0.154,.336,-.183,4
58,0,55454,Carl Yuan,0.039,0.154,-5.020,5.173,4
69,0,12716,Charley Hoffman,-0.212,-0.846,2.494,-3.341,4
69,-48,48867,Matti Schmid,-0.212,-0.846,-1.576,.729,4
69,0,51894,Vince Whaley,-0.212,-0.846,-1.002,.155,4
72,0,29478,Kevin Kisner,-0.462,-1.846,-3.671,1.824,4
72,0,27649,Brandt Snedeker,-0.462,-1.846,-2.814,.967,4
74,-17,59836,Pierceson Coody,-0.712,-2.846,-7.456,4.609,4
75,0,52453,Nicolai Højgaard,-0.962,-3.846,1.040,-4.887,4
75,0,50525,Collin Morikawa,-0.962,-3.846,1.660,-5.507,4
75,0,48319,Tom Whitney,-0.962,-3.846,-4.526,.679,4
78,0,51287,Ryo Hisatsune,-1.212,-4.846,-2.168,-2.679,4
78,-21,35461,Beau Hossler,-1.212,-4.846,-5.305,.458,4
78,0,36884,Ben Kohles,-1.212,-4.846,.374,-5.221,4
81,-45,39327,Ben Silverman,-1.462,-5.846,-5.242,-.605,4
82,0,46113,Ryan McCormick,-2.212,-8.846,-7.729,-1.118,4
