RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,47959,Bryson DeChambeau,4.285,17.140,12.443,4.697,4
2,13,28237,Rory McIlroy,4.035,16.140,13.600,2.540,4
3,0,35450,Patrick Cantlay,3.785,15.140,10.170,4.970,4
3,5,29725,Tony Finau,3.785,15.140,13.427,1.713,4
5,0,48153,Matthieu Pavon,3.535,14.140,7.164,6.976,4
6,2,32839,Hideki Matsuyama,3.285,13.140,10.129,3.011,4
7,20,34098,Russell Henley,3.035,12.140,2.430,9.710,4
7,1,48081,Xander Schauffele,3.035,12.140,11.428,.712,4
9,6,47504,Sam Burns,2.785,11.140,3.503,7.637,4
9,11,39997,Corey Conners,2.785,11.140,7.695,3.445,4
9,18,58168,Davis Thompson,2.785,11.140,8.878,2.262,4
12,-7,52955,Ludvig Åberg,2.535,10.140,5.601,4.539,4
12,0,21209,Sergio Garcia,2.535,10.140,11.510,-1.370,4
14,27,33653,Thomas Detry,2.285,9.140,1.865,7.275,4
14,-12,50525,Collin Morikawa,2.285,9.140,5.029,4.111,4
16,6,56630,Akshay Bhatia,2.035,8.140,6.043,2.097,4
16,4,30911,Tommy Fleetwood,2.035,8.140,4.682,3.458,4
16,17,40250,Taylor Pendrith,2.035,8.140,3.847,4.293,4
19,30,33204,Shane Lowry,1.785,7.140,1.860,5.280,4
19,0,46414,Aaron Rai,1.785,7.140,4.312,2.828,4
21,0,40026,Daniel Berger,1.535,6.140,10.679,-4.539,4
21,0,51977,Max Greyserman,1.535,6.140,.839,5.301,4
21,12,27644,Brian Harman,1.535,6.140,1.062,5.078,4
21,0,36799,Stephan Jaeger,1.535,6.140,8.147,-2.007,4
21,0,37378,Min Woo Lee,1.535,6.140,3.884,2.256,4
26,0,40058,Zac Blair,1.285,5.140,2.401,2.739,4
26,0,34363,Tyrrell Hatton,1.285,5.140,8.976,-3.836,4
26,17,55182,Tom Kim,1.285,5.140,4.730,.410,4
26,0,30926,Chris Kirk,1.285,5.140,-1.516,6.656,4
26,0,36689,Brooks Koepka,1.285,5.140,8.865,-3.725,4
26,0,63807,Neal Shipley,1.285,5.140,2.871,2.269,4
32,-28,45522,Christiaan Bezuidenhout,1.035,4.140,1.813,2.327,4
32,11,33141,Keegan Bradley,1.035,4.140,2.295,1.845,4
32,-17,37455,Si Woo Kim,1.035,4.140,2.889,1.251,4
32,7,47993,Denny McCarthy,1.035,4.140,2.054,2.086,4
32,-10,49771,J.T. Poston,1.035,4.140,4.488,-.348,4
32,0,56781,Isaiah Salinda,1.035,4.140,4.370,-.230,4
32,0,24502,Adam Scott,1.035,4.140,6.253,-2.113,4
32,0,35891,Cameron Smith,1.035,4.140,2.848,1.292,4
32,-20,51634,Sahith Theegala,1.035,4.140,4.127,.013,4
41,0,49590,Frankie Capan III,0.785,3.140,-.859,3.999,4
41,0,66743,Luke Clanton,0.785,3.140,1.417,1.723,4
41,0,34099,Harris English,0.785,3.140,-4.909,8.049,4
41,-14,31646,Emiliano Grillo,0.785,3.140,1.958,1.182,4
41,-26,29420,Billy Horschel,0.785,3.140,.116,3.024,4
41,0,50823,Tom McKibbin,0.785,3.140,1.109,2.031,4
41,-40,46046,Scottie Scheffler,0.785,3.140,9.172,-6.032,4
41,0,34046,Jordan Spieth,0.785,3.140,9.768,-6.628,4
41,0,50474,Tim Widing,0.785,3.140,.063,3.077,4
50,0,52453,Nicolai Højgaard,0.535,2.140,2.531,-.391,4
50,0,36801,Mark Hubbard,0.535,2.140,.296,1.844,4
50,-17,23108,Matt Kuchar,0.535,2.140,-1.380,3.520,4
50,0,40162,Justin Lower,0.535,2.140,-.986,3.126,4
54,0,51349,Nico Echavarria,0.285,1.140,.850,.290,4
55,0,61193,David Puig,0.035,0.140,2.364,-2.224,4
56,0,46443,Brian Campbell,-0.215,-0.860,-2.511,1.651,4
56,0,51766,Wyndham Clark,-0.215,-0.860,.374,-1.234,4
56,0,29936,Ryan Fox,-0.215,-0.860,-5.593,4.733,4
56,0,50188,S.H. Kim,-0.215,-0.860,-1.055,.195,4
56,0,36884,Ben Kohles,-0.215,-0.860,-2.577,1.717,4
56,0,51890,Greyson Sigg,-0.215,-0.860,-1.390,.530,4
56,-51,49960,Sepp Straka,-0.215,-0.860,.219,-1.079,4
56,-29,40115,Adam Svensson,-0.215,-0.860,5.351,-6.211,4
64,-59,40098,Matt Fitzpatrick,-0.465,-1.860,.078,-1.938,4
64,0,27408,Martin Kaymer,-0.465,-1.860,1.012,-2.872,4
64,0,25198,Francesco Molinari,-0.465,-1.860,-5.356,3.496,4
67,0,30927,Brendon Todd,-0.715,-2.860,.547,-3.407,4
67,-17,57366,Cameron Young,-0.715,-2.860,3.268,-6.128,4
69,0,33974,Dean Burmester,-0.965,-3.860,-2.838,-1.022,4
70,0,65880,Gunnar Broin,-1.215,-4.860,-6.256,1.396,4
70,0,52374,Brandon Wu,-1.215,-4.860,-1.491,-3.369,4
72,0,59652,Sam Bennett,-1.465,-5.860,-1.113,-4.747,4
73,0,60019,Jackson Suber,-1.715,-6.860,-4.373,-2.487,4
74,-35,57362,Austin Eckroat,-2.215,-8.860,-2.144,-6.716,4
