RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,37,57362,Austin Eckroat,3.157,12.627,8.906,3.721,4
2,0,37378,Min Woo Lee,2.407,9.627,8.609,1.018,4
2,6,40006,Erik van Rooyen,2.407,9.627,1.921,7.706,4
4,-3,47420,Jake Knapp,2.157,8.627,7.176,1.451,4
4,0,32791,K.H. Lee,2.157,8.627,6.126,2.501,4
4,0,33204,Shane Lowry,2.157,8.627,5.374,3.253,4
4,0,27139,David Skinns,2.157,8.627,1.328,7.299,4
4,0,57366,Cameron Young,2.157,8.627,4.767,3.860,4
9,0,29420,Billy Horschel,1.907,7.627,6.714,.913,4
9,0,27936,Martin Laird,1.907,7.627,4.429,3.198,4
9,0,34466,Peter Malnati,1.907,7.627,5.608,2.019,4
9,10,39546,Keith Mitchell,1.907,7.627,6.595,1.032,4
9,0,27349,Alex Noren,1.907,7.627,6.009,1.618,4
9,-1,51997,Andrew Novak,1.907,7.627,5.574,2.053,4
9,0,45242,Kevin Yu,1.907,7.627,8.467,-.840,4
16,0,33408,Tyson Alexander,1.657,6.627,6.873,-.246,4
16,-8,52375,Doug Ghim,1.657,6.627,1.880,4.747,4
16,44,54421,Garrick Higgo,1.657,6.627,1.147,5.480,4
16,36,47679,Victor Perez,1.657,6.627,5.672,.955,4
16,-3,39327,Ben Silverman,1.657,6.627,7.890,-1.263,4
21,0,33948,Byeong Hun An,1.407,5.627,4.950,.677,4
21,0,34021,Bud Cauley,1.407,5.627,1.878,3.749,4
21,3,51349,Nico Echavarria,1.407,5.627,3.633,1.994,4
21,0,40098,Matt Fitzpatrick,1.407,5.627,2.675,2.952,4
21,0,24024,Zach Johnson,1.407,5.627,1.887,3.740,4
21,0,28237,Rory McIlroy,1.407,5.627,9.243,-3.616,4
21,0,37275,Sam Ryder,1.407,5.627,.944,4.683,4
28,0,60004,Jacob Bridgeman,1.157,4.627,1.384,3.243,4
28,0,35532,Tom Hoge,1.157,4.627,3.424,1.203,4
28,0,35461,Beau Hossler,1.157,4.627,5.014,-.387,4
28,-20,34587,Chan Kim,1.157,4.627,-.116,4.743,4
28,0,30926,Chris Kirk,1.157,4.627,5.817,-1.190,4
28,-25,29908,C.T. Pan,1.157,4.627,-.029,4.656,4
28,0,48153,Matthieu Pavon,1.157,4.627,1.263,3.364,4
35,0,29936,Ryan Fox,0.907,3.627,3.021,.606,4
35,0,25900,Lucas Glover,0.907,3.627,3.748,-.121,4
35,0,59095,Chris Gotterup,0.907,3.627,3.476,.151,4
35,-11,34563,Chesson Hadley,0.907,3.627,.193,3.434,4
35,-2,47983,Chad Ramey,0.907,3.627,-3.278,6.905,4
35,3,51600,Jimmy Stanger,0.907,3.627,4.436,-.809,4
41,-3,34255,Joseph Bramlett,0.657,2.627,-.792,3.419,4
41,0,39997,Corey Conners,0.657,2.627,5.083,-2.456,4
41,0,32102,Rickie Fowler,0.657,2.627,.006,2.621,4
41,0,34098,Russell Henley,0.657,2.627,-4.520,7.147,4
41,0,36326,David Lipsky,0.657,2.627,6.259,-3.632,4
41,-28,46442,Maverick McNealy,0.657,2.627,3.213,-.586,4
47,0,34310,Alexander Björk,0.407,1.627,-.368,1.995,4
47,-23,59442,Parker Coody,0.407,1.627,4.266,-2.639,4
47,0,51977,Max Greyserman,0.407,1.627,-.032,1.659,4
47,11,32640,Troy Merritt,0.407,1.627,4.501,-2.874,4
47,0,51070,Vincent Norrman,0.407,1.627,4.062,-2.435,4
47,-23,58168,Davis Thompson,0.407,1.627,4.390,-2.763,4
53,-34,32367,Jorge Campillo,0.157,0.627,-1.546,2.173,4
53,0,59866,Nick Dunlap,0.157,0.627,-1.782,2.409,4
53,0,59143,Mac Meissner,0.157,0.627,.414,.213,4
56,0,51696,Rico Hoey,-0.093,-0.373,5.975,-6.348,4
56,0,47347,Adam Schenk,-0.093,-0.373,-2.676,2.303,4
56,-37,51890,Greyson Sigg,-0.093,-0.373,3.501,-3.874,4
56,-48,52513,Carson Young,-0.093,-0.373,-1.394,1.021,4
60,-54,52215,Robert MacIntyre,-0.343,-1.373,3.515,-4.888,4
60,0,55789,Taylor Montgomery,-0.343,-1.373,-6.443,5.070,4
62,0,55182,Tom Kim,-0.593,-2.373,-3.182,.809,4
62,0,47995,Davis Riley,-0.593,-2.373,-4.493,2.120,4
64,-16,36801,Mark Hubbard,-0.843,-3.373,-8.039,4.666,4
64,0,22405,Justin Rose,-0.843,-3.373,-5.014,1.641,4
66,0,49771,J.T. Poston,-1.093,-4.373,-5.503,1.130,4
67,0,50188,S.H. Kim,-1.343,-5.373,-4.621,-.752,4
67,0,27770,Camilo Villegas,-1.343,-5.373,-6.048,.675,4
