RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,52215,Robert MacIntyre,3.969,15.875,4.683,11.193,4
2,0,54591,Ben Griffin,3.719,14.875,9.690,5.186,4
3,47,47679,Victor Perez,3.469,13.875,4.567,9.309,4
4,20,55182,Tom Kim,3.219,12.875,9.909,2.967,4
4,0,28237,Rory McIlroy,3.219,12.875,7.049,5.827,4
6,0,39997,Corey Conners,2.969,11.875,4.954,6.922,4
7,25,29936,Ryan Fox,2.469,9.875,3.687,6.189,4
7,0,35506,Mackenzie Hughes,2.469,9.875,2.109,7.767,4
7,10,46442,Maverick McNealy,2.469,9.875,5.820,4.056,4
10,0,47504,Sam Burns,2.219,8.875,8.479,.397,4
10,46,34076,Joel Dahmen,2.219,8.875,4.515,4.361,4
10,27,39546,Keith Mitchell,2.219,8.875,7.702,1.174,4
10,2,57900,Chandler Phillips,2.219,8.875,3.818,5.058,4
14,0,60004,Jacob Bridgeman,1.969,7.875,3.987,3.889,4
14,0,35461,Beau Hossler,1.969,7.875,2.214,5.662,4
14,0,39975,Michael Kim,1.969,7.875,7.899,-.023,4
14,0,51997,Andrew Novak,1.969,7.875,6.662,1.214,4
14,18,46414,Aaron Rai,1.969,7.875,10.957,-3.081,4
14,0,55893,Sam Stevens,1.969,7.875,8.519,-.643,4
14,0,52513,Carson Young,1.969,7.875,5.739,2.137,4
21,0,30911,Tommy Fleetwood,1.719,6.875,5.132,1.744,4
21,0,40250,Taylor Pendrith,1.719,6.875,.992,5.884,4
21,0,27139,David Skinns,1.719,6.875,8.981,-2.105,4
24,0,40058,Zac Blair,1.469,5.875,-.058,5.934,4
24,32,45609,Tyler Duncan,1.469,5.875,3.500,2.376,4
24,0,47983,Chad Ramey,1.469,5.875,.936,4.940,4
27,0,20229,Stewart Cink,1.219,4.875,2.942,1.934,4
27,0,52514,Trace Crowe,1.219,4.875,2.727,2.149,4
27,0,24140,Sean O'Hair,1.219,4.875,-2.831,7.707,4
27,0,33968,Thorbjørn Olesen,1.219,4.875,.494,4.382,4
27,0,27064,Jhonattan Vegas,1.219,4.875,.746,4.130,4
27,0,48887,Matt Wallace,1.219,4.875,6.134,-1.258,4
33,0,33204,Shane Lowry,0.969,3.875,3.606,.270,4
33,0,51894,Vince Whaley,0.969,3.875,-.229,4.105,4
35,-30,59836,Pierceson Coody,0.719,2.875,-4.227,7.103,4
35,0,51287,Ryo Hisatsune,0.719,2.875,6.658,-3.782,4
35,0,52453,Nicolai Højgaard,0.719,2.875,-3.196,6.072,4
35,0,23320,Ryan Palmer,0.719,2.875,1.716,1.160,4
35,2,29908,C.T. Pan,0.719,2.875,4.442,-1.566,4
35,-3,39327,Ben Silverman,0.719,2.875,-1.589,4.465,4
35,0,52666,Sami Valimaki,0.719,2.875,.412,2.464,4
42,0,57975,Harry Hall,0.469,1.875,-1.519,3.395,4
42,23,47988,Nick Hardy,0.469,1.875,.631,1.245,4
42,0,54421,Garrick Higgo,0.469,1.875,.632,1.244,4
42,23,36801,Mark Hubbard,0.469,1.875,1.759,.117,4
42,0,35879,Kelly Kraft,0.469,1.875,-.695,2.571,4
42,0,28775,Nate Lashley,0.469,1.875,-2.272,4.148,4
42,-30,24502,Adam Scott,0.469,1.875,3.075,-1.199,4
42,0,40006,Erik van Rooyen,0.469,1.875,3.222,-1.346,4
42,19,45242,Kevin Yu,0.469,1.875,8.702,-6.826,4
51,-14,34255,Joseph Bramlett,0.219,0.875,1.943,-1.067,4
51,0,50497,Adrien Dumont de Chassart,0.219,0.875,.961,-.085,4
51,0,35310,Lanto Griffin,0.219,0.875,1.490,-.614,4
51,0,34563,Chesson Hadley,0.219,0.875,.811,.065,4
51,-27,40115,Adam Svensson,0.219,0.875,3.944,-3.068,4
51,-6,31323,Gary Woodland,0.219,0.875,-1.464,2.340,4
57,0,56555,Myles Creighton,-0.031,-0.125,-2.834,2.710,4
57,-52,59143,Mac Meissner,-0.031,-0.125,3.347,-3.471,4
57,-7,27214,Kevin Streelman,-0.031,-0.125,1.166,-1.290,4
60,0,56630,Akshay Bhatia,-0.281,-1.125,-2.177,1.053,4
60,9,26596,Ryan Moore,-0.281,-1.125,2.315,-3.439,4
62,0,35490,Wil Bateman,-0.531,-2.125,-3.154,1.030,4
62,0,32367,Jorge Campillo,-0.531,-2.125,2.794,-4.918,4
62,0,52374,Brandon Wu,-0.531,-2.125,-1.774,-.350,4
65,0,34374,Erik Barnes,-0.781,-3.125,-2.398,-.726,4
65,5,51070,Vincent Norrman,-0.781,-3.125,-1.742,-1.382,4
65,0,26476,Chez Reavie,-0.781,-3.125,1.468,-4.592,4
68,-44,32333,Kevin Tway,-1.281,-5.125,-3.411,-1.713,4
69,0,26758,David Hearn,-2.031,-8.125,-15.109,6.985,4
