RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,47420,Jake Knapp,3.649,14.596,11.395,3.201,4
2,0,52666,Sami Valimaki,3.149,12.596,7.235,5.361,4
3,0,36799,Stephan Jaeger,2.399,9.596,5.373,4.223,4
3,0,40162,Justin Lower,2.399,9.596,6.666,2.930,4
3,0,29908,C.T. Pan,2.399,9.596,6.750,2.846,4
6,0,52215,Robert MacIntyre,2.149,8.596,8.163,.433,4
6,0,36699,Patrick Rodgers,2.149,8.596,7.526,1.070,4
8,0,52375,Doug Ghim,1.899,7.596,7.682,-.086,4
8,0,34587,Chan Kim,1.899,7.596,2.598,4.998,4
8,0,51997,Andrew Novak,1.899,7.596,10.713,-3.117,4
8,0,40006,Erik van Rooyen,1.899,7.596,6.376,1.220,4
8,0,52513,Carson Young,1.899,7.596,5.782,1.814,4
13,6,29725,Tony Finau,1.649,6.596,6.319,.277,4
13,0,46442,Maverick McNealy,1.649,6.596,2.325,4.271,4
13,0,30163,Henrik Norlander,1.649,6.596,-.688,7.284,4
13,0,39262,Alvaro Ortiz,1.649,6.596,5.477,1.119,4
13,0,39327,Ben Silverman,1.649,6.596,-3.328,9.924,4
13,0,52374,Brandon Wu,1.649,6.596,3.352,3.244,4
19,0,32367,Jorge Campillo,1.399,5.596,2.902,2.694,4
19,0,39546,Keith Mitchell,1.399,5.596,8.706,-3.110,4
19,0,46414,Aaron Rai,1.399,5.596,7.544,-1.948,4
19,0,51890,Greyson Sigg,1.399,5.596,4.201,1.395,4
19,0,35617,Martin Trainer,1.399,5.596,-1.062,6.658,4
24,0,22371,Aaron Baddeley,1.149,4.596,-1.322,5.918,4
24,0,52372,Cameron Champ,1.149,4.596,-.634,5.230,4
24,0,59442,Parker Coody,1.149,4.596,2.885,1.711,4
24,0,51349,Nico Echavarria,1.149,4.596,2.376,2.220,4
24,0,34563,Chesson Hadley,1.149,4.596,5.574,-.978,4
24,0,46368,Stuart Macdonald,1.149,4.596,2.566,2.030,4
24,0,57900,Chandler Phillips,1.149,4.596,5.247,-.651,4
24,0,58168,Davis Thompson,1.149,4.596,.943,3.653,4
24,0,54783,Dylan Wu,1.149,4.596,3.245,1.351,4
33,11,31646,Emiliano Grillo,0.899,3.596,1.773,1.823,4
33,0,32448,James Hahn,0.899,3.596,-2.142,5.738,4
33,0,57975,Harry Hall,0.899,3.596,5.038,-1.442,4
33,0,47983,Chad Ramey,0.899,3.596,-.433,4.029,4
33,0,48887,Matt Wallace,0.899,3.596,2.592,1.004,4
38,0,34255,Joseph Bramlett,0.649,2.596,1.591,1.005,4
38,0,32070,Rafael Campos,0.649,2.596,2.086,.510,4
38,0,47663,Kevin Dougherty,0.649,2.596,3.276,-.680,4
38,0,57362,Austin Eckroat,0.649,2.596,7.344,-4.748,4
38,0,56149,Wilson Furr,0.649,2.596,-2.851,5.447,4
38,0,46113,Ryan McCormick,0.649,2.596,-2.530,5.126,4
38,0,50484,Hayden Springer,0.649,2.596,3.691,-1.095,4
38,0,51600,Jimmy Stanger,0.649,2.596,4.909,-2.313,4
46,0,61520,Santiago De la Fuente,0.399,1.596,.967,.629,4
46,0,33968,Thorbjørn Olesen,0.399,1.596,1.383,.213,4
48,0,39859,Cristobal Del Solar,0.149,0.596,3.034,-2.438,4
48,0,35310,Lanto Griffin,0.149,0.596,1.377,-.781,4
48,0,51287,Ryo Hisatsune,0.149,0.596,.129,.467,4
48,0,36801,Mark Hubbard,0.149,0.596,-.523,1.119,4
52,0,20766,Padraig Harrington,-0.101,-0.404,.819,-1.223,4
52,-13,52453,Nicolai Højgaard,-0.101,-0.404,1.897,-2.301,4
52,0,23320,Ryan Palmer,-0.101,-0.404,1.492,-1.896,4
52,0,47679,Victor Perez,-0.101,-0.404,1.668,-2.072,4
52,0,50095,Austin Smotherman,-0.101,-0.404,-.632,.228,4
52,0,55454,Carl Yuan,-0.101,-0.404,4.368,-4.772,4
58,0,34374,Erik Barnes,-0.351,-1.404,2.982,-4.386,4
58,0,32640,Troy Merritt,-0.351,-1.404,1.243,-2.647,4
60,0,52514,Trace Crowe,-0.851,-3.404,-8.705,5.301,4
60,0,54421,Garrick Higgo,-0.851,-3.404,-4.677,1.273,4
60,0,26596,Ryan Moore,-0.851,-3.404,-.401,-3.003,4
60,0,46441,Robby Shelton,-0.851,-3.404,-3.487,.083,4
60,0,27064,Jhonattan Vegas,-0.851,-3.404,-.049,-3.355,4
65,0,39067,MJ Daffue,-2.601,-10.404,-10.811,.407,4
