RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,25,55182,Tom Kim,3.129,12.514,10.434,2.080,4
1,40,46046,Scottie Scheffler,3.129,12.514,9.989,2.525,4
3,0,35532,Tom Hoge,2.629,10.514,9.617,.897,4
3,0,39971,Sungjae Im,2.629,10.514,8.161,2.353,4
5,11,56630,Akshay Bhatia,2.129,8.514,3.964,4.550,4
5,-2,35450,Patrick Cantlay,2.129,8.514,3.403,5.111,4
5,-2,29725,Tony Finau,2.129,8.514,6.170,2.344,4
5,0,33448,Justin Thomas,2.129,8.514,6.994,1.520,4
9,47,51766,Wyndham Clark,1.879,7.514,3.394,4.120,4
9,12,27644,Brian Harman,1.879,7.514,8.810,-1.296,4
9,10,33204,Shane Lowry,1.879,7.514,7.167,.347,4
9,58,57366,Cameron Young,1.879,7.514,7.520,-.006,4
13,1,50525,Collin Morikawa,1.629,6.514,6.154,.360,4
13,-6,48081,Xander Schauffele,1.629,6.514,1.735,4.779,4
15,1,30911,Tommy Fleetwood,1.379,5.514,5.985,-.471,4
16,0,52215,Robert MacIntyre,1.129,4.514,1.364,3.150,4
16,-11,48153,Matthieu Pavon,1.129,4.514,.069,4.445,4
16,0,36699,Patrick Rodgers,1.129,4.514,-2.072,6.586,4
16,40,40115,Adam Svensson,1.129,4.514,3.252,1.262,4
20,0,32102,Rickie Fowler,0.879,3.514,-2.629,6.143,4
20,0,46717,Viktor Hovland,0.879,3.514,1.717,1.797,4
20,0,28252,Seamus Power,0.879,3.514,3.020,.494,4
23,9,45522,Christiaan Bezuidenhout,0.629,2.514,2.210,.304,4
23,-17,32839,Hideki Matsuyama,0.629,2.514,2.257,.257,4
23,-7,40250,Taylor Pendrith,0.629,2.514,-.366,2.880,4
23,33,49960,Sepp Straka,0.629,2.514,2.621,-.107,4
27,-15,52955,Ludvig Åberg,0.379,1.514,8.669,-7.155,4
27,-18,39997,Corey Conners,0.379,1.514,3.705,-2.191,4
27,47,57362,Austin Eckroat,0.379,1.514,6.499,-4.985,4
27,0,33399,Adam Hadwin,0.379,1.514,.995,.519,4
31,0,54628,Lee Hodges,0.129,0.514,2.307,-1.793,4
31,-10,36799,Stephan Jaeger,0.129,0.514,3.970,-3.456,4
31,1,37455,Si Woo Kim,0.129,0.514,-2.144,2.658,4
31,0,48117,Kurt Kitayama,0.129,0.514,-.805,1.319,4
31,1,47993,Denny McCarthy,0.129,0.514,-.039,.553,4
36,28,40098,Matt Fitzpatrick,-0.122,-0.486,-.978,.492,4
36,0,35506,Mackenzie Hughes,-0.122,-0.486,-3.342,2.856,4
36,31,30927,Brendon Todd,-0.122,-0.486,-2.833,2.347,4
39,-7,33141,Keegan Bradley,-0.372,-1.486,-4.230,2.744,4
39,-7,24502,Adam Scott,-0.372,-1.486,-4.941,3.455,4
39,0,57364,Michael Thorbjornsen,-0.372,-1.486,-3.079,1.593,4
42,0,25493,Nick Taylor,-0.622,-2.486,2.441,-4.927,4
42,0,47483,Will Zalatoris,-0.622,-2.486,.732,-3.218,4
44,0,28089,Jason Day,-0.872,-3.486,-3.637,.151,4
44,0,25900,Lucas Glover,-0.872,-3.486,.488,-3.974,4
44,0,47679,Victor Perez,-0.872,-3.486,-2.018,-1.468,4
44,0,34256,Andrew Putnam,-0.872,-3.486,-7.320,3.834,4
48,0,47591,Eric Cole,-1.122,-4.486,-7.699,3.213,4
48,0,45157,Cam Davis,-1.122,-4.486,-3.279,-1.207,4
48,-41,34098,Russell Henley,-1.122,-4.486,2.229,-6.715,4
48,0,47420,Jake Knapp,-1.122,-4.486,-1.748,-2.738,4
48,0,47995,Davis Riley,-1.122,-4.486,-4.026,-.460,4
48,0,29221,Webb Simpson,-1.122,-4.486,-4.713,.227,4
48,-16,51634,Sahith Theegala,-1.122,-4.486,-1.206,-3.280,4
55,-46,47504,Sam Burns,-1.372,-5.486,-4.817,-.669,4
55,-41,33653,Thomas Detry,-1.372,-5.486,-4.639,-.847,4
55,-14,31646,Emiliano Grillo,-1.372,-5.486,-3.742,-1.744,4
55,-14,29420,Billy Horschel,-1.372,-5.486,-4.308,-1.178,4
55,-23,49771,J.T. Poston,-1.372,-5.486,-5.594,.108,4
55,0,47347,Adam Schenk,-1.372,-5.486,-4.205,-1.281,4
61,0,59095,Chris Gotterup,-1.622,-6.486,-3.987,-2.499,4
61,0,39977,Max Homa,-1.622,-6.486,-4.533,-1.953,4
63,-22,34099,Harris English,-1.872,-7.486,-3.901,-3.585,4
63,-37,30926,Chris Kirk,-1.872,-7.486,-3.135,-4.351,4
63,-22,34046,Jordan Spieth,-1.872,-7.486,-8.169,.683,4
66,0,59866,Nick Dunlap,-2.122,-8.486,-1.366,-7.120,4
67,0,54591,Ben Griffin,-2.372,-9.486,-2.820,-6.666,4
68,0,49947,Taylor Moore,-2.622,-10.486,-8.333,-2.153,4
68,0,22405,Justin Rose,-2.622,-10.486,-9.955,-.531,4
70,0,34466,Peter Malnati,-3.122,-12.486,-11.429,-1.057,4
