RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,3.585,14.339,12.813,1.527,4
2,0,50525,Collin Morikawa,3.335,13.339,9.679,3.661,4
3,0,33399,Adam Hadwin,2.585,10.339,10.803,-.463,4
4,0,45522,Christiaan Bezuidenhout,2.335,9.339,6.844,2.496,4
5,0,52955,Ludvig Åberg,2.085,8.339,5.513,2.827,4
5,0,40098,Matt Fitzpatrick,2.085,8.339,3.021,5.319,4
5,0,49960,Sepp Straka,2.085,8.339,6.108,2.232,4
8,0,29725,Tony Finau,1.835,7.339,5.630,1.710,4
8,0,39971,Sungjae Im,1.835,7.339,2.643,4.697,4
8,0,32839,Hideki Matsuyama,1.835,7.339,6.179,1.161,4
8,0,48081,Xander Schauffele,1.835,7.339,-.674,8.014,4
12,0,59866,Nick Dunlap,1.585,6.339,.371,5.969,4
12,-9,47679,Victor Perez,1.585,6.339,5.893,.447,4
12,0,51634,Sahith Theegala,1.585,6.339,8.957,-2.617,4
15,-5,47504,Sam Burns,1.085,4.339,3.243,1.097,4
15,0,29420,Billy Horschel,1.085,4.339,-.354,4.694,4
15,0,46717,Viktor Hovland,1.085,4.339,5.220,-.880,4
15,0,37455,Si Woo Kim,1.085,4.339,5.932,-1.592,4
15,-11,28237,Rory McIlroy,1.085,4.339,3.141,1.199,4
20,-14,39997,Corey Conners,0.835,3.339,7.193,-3.853,4
20,1,30911,Tommy Fleetwood,0.835,3.339,.935,2.405,4
22,0,33948,Byeong Hun An,0.585,2.339,3.204,-.864,4
22,38,56630,Akshay Bhatia,0.585,2.339,3.098,-.758,4
22,0,39977,Max Homa,0.585,2.339,2.818,-.478,4
22,0,27349,Alex Noren,0.585,2.339,-1.661,4.001,4
22,0,49771,J.T. Poston,0.585,2.339,-2.957,5.297,4
27,0,31646,Emiliano Grillo,0.335,1.339,2.164,-.824,4
27,0,34098,Russell Henley,0.335,1.339,-.861,2.201,4
27,0,28252,Seamus Power,0.335,1.339,-2.185,3.525,4
27,24,40115,Adam Svensson,0.335,1.339,2.603,-1.263,4
27,0,25493,Nick Taylor,0.335,1.339,3.053,-1.713,4
27,0,58168,Davis Thompson,0.335,1.339,1.725,-.385,4
33,0,28089,Jason Day,0.085,0.339,-5.472,5.812,4
33,0,27644,Brian Harman,0.085,0.339,2.658,-2.318,4
33,0,23108,Matt Kuchar,0.085,0.339,.064,.276,4
33,0,34466,Peter Malnati,0.085,0.339,-1.172,1.512,4
33,-12,40250,Taylor Pendrith,0.085,0.339,-2.787,3.127,4
33,0,33448,Justin Thomas,0.085,0.339,3.859,-3.519,4
39,0,57362,Austin Eckroat,-0.165,-0.661,3.903,-4.563,4
39,0,47993,Denny McCarthy,-0.165,-0.661,-7.335,6.675,4
41,0,33653,Thomas Detry,-0.415,-1.661,-4.316,2.656,4
41,0,47483,Will Zalatoris,-0.415,-1.661,-1.215,-.445,4
43,0,33141,Keegan Bradley,-0.665,-2.661,-6.838,4.178,4
43,-39,55182,Tom Kim,-0.665,-2.661,2.401,-5.061,4
45,0,47591,Eric Cole,-0.915,-3.661,-4.238,.578,4
45,0,54628,Lee Hodges,-0.915,-3.661,-4.455,.795,4
45,0,35532,Tom Hoge,-0.915,-3.661,-2.337,-1.323,4
45,0,34256,Andrew Putnam,-0.915,-3.661,-6.505,2.845,4
49,-16,33204,Shane Lowry,-1.415,-5.661,-2.966,-2.694,4
50,0,45157,Cam Davis,-1.665,-6.661,.160,-6.820,4
50,0,57366,Cameron Young,-1.665,-6.661,-2.849,-3.811,4
52,0,66701,Jackson Koivun,-2.915,-11.661,-6.950,-4.710,4
