RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,36799,Stephan Jaeger,3.012,12.048,5.650,6.398,4
2,15,33653,Thomas Detry,2.762,11.048,6.257,4.791,4
2,0,29725,Tony Finau,2.762,11.048,14.447,-3.399,4
2,10,49947,Taylor Moore,2.762,11.048,5.288,5.760,4
2,0,46046,Scottie Scheffler,2.762,11.048,10.562,.486,4
2,73,38991,Alejandro Tosti,2.762,11.048,6.436,4.612,4
7,26,51977,Max Greyserman,2.512,10.048,4.771,5.277,4
7,5,29420,Billy Horschel,2.512,10.048,7.338,2.710,4
7,0,46414,Aaron Rai,2.512,10.048,6.330,3.718,4
7,68,27139,David Skinns,2.512,10.048,3.694,6.354,4
11,6,56630,Akshay Bhatia,2.262,9.048,7.278,1.770,4
11,0,59866,Nick Dunlap,2.262,9.048,4.195,4.853,4
11,0,27349,Alex Noren,2.262,9.048,4.897,4.151,4
14,0,35532,Tom Hoge,2.012,8.048,.791,7.257,4
14,-11,35506,Mackenzie Hughes,2.012,8.048,7.383,.665,4
14,0,47995,Davis Riley,2.012,8.048,8.917,-.869,4
17,0,34374,Erik Barnes,1.762,7.048,.388,6.660,4
17,0,37455,Si Woo Kim,1.762,7.048,8.973,-1.925,4
17,0,47679,Victor Perez,1.762,7.048,6.450,.598,4
17,0,47983,Chad Ramey,1.762,7.048,.901,6.147,4
21,0,60004,Jacob Bridgeman,1.512,6.048,6.009,.039,4
21,0,45157,Cam Davis,1.512,6.048,4.258,1.790,4
21,0,60067,Joe Highsmith,1.512,6.048,6.376,-.328,4
21,0,28775,Nate Lashley,1.512,6.048,4.365,1.683,4
21,-4,48867,Matti Schmid,1.512,6.048,2.964,3.084,4
21,0,58168,Davis Thompson,1.512,6.048,5.252,.796,4
21,0,31323,Gary Woodland,1.512,6.048,12.010,-5.962,4
28,39,57975,Harry Hall,1.262,5.048,.049,4.999,4
28,0,40162,Justin Lower,1.262,5.048,2.347,2.701,4
28,0,51634,Sahith Theegala,1.262,5.048,6.885,-1.837,4
31,0,51766,Wyndham Clark,1.012,4.048,1.889,2.159,4
31,0,36801,Mark Hubbard,1.012,4.048,1.357,2.691,4
31,0,27936,Martin Laird,1.012,4.048,.601,3.447,4
31,-22,32791,K.H. Lee,1.012,4.048,4.821,-.773,4
31,-26,26596,Ryan Moore,1.012,4.048,6.050,-2.002,4
36,-19,34255,Joseph Bramlett,0.762,3.048,-1.512,4.560,4
36,0,56149,Wilson Furr,0.762,3.048,.807,2.241,4
36,-19,54591,Ben Griffin,0.762,3.048,2.335,.713,4
36,0,48117,Kurt Kitayama,0.762,3.048,5.165,-2.117,4
36,-35,34466,Peter Malnati,0.762,3.048,-.117,3.165,4
36,0,40250,Taylor Pendrith,0.762,3.048,1.350,1.698,4
36,0,39327,Ben Silverman,0.762,3.048,-.176,3.224,4
36,0,39324,J.J. Spaun,0.762,3.048,-.373,3.421,4
36,0,27064,Jhonattan Vegas,0.762,3.048,5.481,-2.433,4
45,0,40026,Daniel Berger,0.512,2.048,3.405,-1.357,4
45,0,34021,Bud Cauley,0.512,2.048,6.283,-4.235,4
45,-19,52372,Cameron Champ,0.512,2.048,1.387,.661,4
45,0,47663,Kevin Dougherty,0.512,2.048,2.119,-.071,4
45,16,50188,S.H. Kim,0.512,2.048,-.299,2.347,4
45,-42,57900,Chandler Phillips,0.512,2.048,2.298,-.250,4
45,0,51890,Greyson Sigg,0.512,2.048,5.375,-3.327,4
45,4,33486,Roger Sloan,0.512,2.048,1.374,.674,4
53,19,28420,Ryan Brehm,0.262,1.048,.669,.379,4
53,0,46435,Austin Cook,0.262,1.048,3.156,-2.108,4
53,14,34587,Chan Kim,0.262,1.048,5.364,-4.316,4
53,-36,51997,Andrew Novak,0.262,1.048,1.620,-.572,4
57,0,59836,Pierceson Coody,0.012,0.048,-.532,.580,4
57,4,59095,Chris Gotterup,0.012,0.048,-5.746,5.794,4
57,0,35310,Lanto Griffin,0.012,0.048,3.775,-3.727,4
57,0,47988,Nick Hardy,0.012,0.048,-3.982,4.030,4
57,0,35461,Beau Hossler,0.012,0.048,1.674,-1.626,4
57,7,55893,Sam Stevens,0.012,0.048,-2.923,2.971,4
57,-8,40115,Adam Svensson,0.012,0.048,2.281,-2.233,4
64,0,33408,Tyson Alexander,-0.238,-0.952,.940,-1.892,4
64,0,47079,Harrison Endycott,-0.238,-0.952,-2.815,1.863,4
64,-31,39975,Michael Kim,-0.238,-0.952,-1.402,.450,4
64,0,35449,Adam Long,-0.238,-0.952,-1.012,.060,4
64,-31,37275,Sam Ryder,-0.238,-0.952,2.754,-3.706,4
69,0,24980,Scott Gutschewski,-0.488,-1.952,.113,-2.065,4
69,0,54421,Garrick Higgo,-0.488,-1.952,1.124,-3.076,4
69,3,48699,Callum Tarren,-0.488,-1.952,-1.179,-.773,4
72,0,59652,Sam Bennett,-0.738,-2.952,-4.043,1.091,4
72,0,32448,James Hahn,-0.738,-2.952,-5.440,2.488,4
74,0,59567,Emilio Gonzalez,-0.988,-3.952,-2.604,-1.348,4
74,-20,23320,Ryan Palmer,-0.988,-3.952,-1.234,-2.718,4
74,0,36699,Patrick Rodgers,-0.988,-3.952,-2.299,-1.653,4
74,0,47483,Will Zalatoris,-0.988,-3.952,3.054,-7.006,4
78,0,29936,Ryan Fox,-1.238,-4.952,-4.301,-.651,4
78,0,47806,Raul Pereda,-1.238,-4.952,-7.759,2.807,4
78,-52,54783,Dylan Wu,-1.238,-4.952,-.137,-4.815,4
81,0,50497,Adrien Dumont de Chassart,-1.488,-5.952,-9.186,3.234,4
82,-65,22371,Aaron Baddeley,-1.738,-6.952,-6.920,-.032,4
83,0,51070,Vincent Norrman,-1.988,-7.952,-4.205,-3.747,4
