RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,47,45157,Cam Davis,3.088,12.351,8.686,3.665,4
2,3,56630,Akshay Bhatia,2.838,11.351,7.523,3.828,4
2,0,37378,Min Woo Lee,2.838,11.351,9.128,2.223,4
2,0,46414,Aaron Rai,2.838,11.351,6.553,4.798,4
2,0,58168,Davis Thompson,2.838,11.351,9.198,2.153,4
6,42,47591,Eric Cole,2.338,9.351,7.196,2.155,4
6,0,51696,Rico Hoey,2.338,9.351,3.668,5.683,4
6,0,40006,Erik van Rooyen,2.338,9.351,3.925,5.426,4
6,3,57366,Cameron Young,2.338,9.351,9.361,-.010,4
10,0,66743,Luke Clanton,2.088,8.351,4.830,3.521,4
10,56,59866,Nick Dunlap,2.088,8.351,6.846,1.505,4
10,58,49947,Taylor Moore,2.088,8.351,2.410,5.941,4
10,0,39324,J.J. Spaun,2.088,8.351,3.818,4.533,4
10,0,50484,Hayden Springer,2.088,8.351,4.039,4.312,4
10,0,55893,Sam Stevens,2.088,8.351,2.594,5.757,4
10,0,54783,Dylan Wu,2.088,8.351,1.534,6.817,4
17,0,32640,Troy Merritt,1.588,6.351,3.872,2.479,4
17,0,39327,Ben Silverman,1.588,6.351,2.921,3.430,4
17,0,27139,David Skinns,1.588,6.351,2.595,3.756,4
20,0,32757,Patton Kizzire,1.338,5.351,6.165,-.814,4
20,0,36884,Ben Kohles,1.338,5.351,4.179,1.172,4
20,0,51997,Andrew Novak,1.338,5.351,-1.040,6.391,4
20,0,63807,Neal Shipley,1.338,5.351,7.987,-2.636,4
20,0,55454,Carl Yuan,1.338,5.351,7.098,-1.747,4
25,0,34076,Joel Dahmen,1.088,4.351,6.064,-1.713,4
25,0,54576,Patrick Fishburn,1.088,4.351,8.810,-4.459,4
25,0,23108,Matt Kuchar,1.088,4.351,1.827,2.524,4
25,0,28775,Nate Lashley,1.088,4.351,1.119,3.232,4
25,0,40162,Justin Lower,1.088,4.351,-.615,4.966,4
25,0,27064,Jhonattan Vegas,1.088,4.351,6.442,-2.091,4
31,0,60004,Jacob Bridgeman,0.838,3.351,3.933,-.582,4
31,-11,32102,Rickie Fowler,0.838,3.351,2.373,.978,4
31,0,51977,Max Greyserman,0.838,3.351,-.493,3.844,4
31,36,54591,Ben Griffin,0.838,3.351,2.595,.756,4
31,0,57975,Harry Hall,0.838,3.351,.884,2.467,4
31,0,51287,Ryo Hisatsune,0.838,3.351,3.792,-.441,4
31,0,35461,Beau Hossler,0.838,3.351,6.880,-3.529,4
31,17,47420,Jake Knapp,0.838,3.351,6.430,-3.079,4
31,0,37278,Nicholas Lindheim,0.838,3.351,.940,2.411,4
31,0,46113,Ryan McCormick,0.838,3.351,-.027,3.378,4
31,-15,36699,Patrick Rodgers,0.838,3.351,-.538,3.889,4
31,0,33486,Roger Sloan,0.838,3.351,-.413,3.764,4
31,0,45242,Kevin Yu,0.838,3.351,2.201,1.150,4
44,0,55708,Hayden Buckley,0.588,2.351,2.514,-.163,4
44,0,60767,Blaine Hale Jr.,0.588,2.351,-2.876,5.227,4
44,0,57869,Ben James,0.588,2.351,4.566,-2.215,4
44,19,30926,Chris Kirk,0.588,2.351,3.708,-1.357,4
44,0,46442,Maverick McNealy,0.588,2.351,-1.915,4.266,4
44,0,55789,Taylor Montgomery,0.588,2.351,-.696,3.047,4
44,0,26596,Ryan Moore,0.588,2.351,.872,1.479,4
44,0,52374,Brandon Wu,0.588,2.351,-4.286,6.637,4
52,0,34021,Bud Cauley,0.338,1.351,-2.089,3.440,4
52,0,47988,Nick Hardy,0.338,1.351,1.872,-.521,4
52,0,36801,Mark Hubbard,0.338,1.351,.454,.897,4
52,0,39975,Michael Kim,0.338,1.351,-.505,1.856,4
52,0,48867,Matti Schmid,0.338,1.351,-.621,1.972,4
57,0,60067,Joe Highsmith,0.088,0.351,2.329,-1.978,4
57,-9,47995,Davis Riley,0.088,0.351,-2.271,2.622,4
57,0,46441,Robby Shelton,0.088,0.351,-2.167,2.518,4
57,0,27214,Kevin Streelman,0.088,0.351,.676,-.325,4
57,0,48699,Callum Tarren,0.088,0.351,2.579,-2.228,4
57,0,51894,Vince Whaley,0.088,0.351,-.012,.363,4
63,0,59836,Pierceson Coody,-0.162,-0.649,-2.680,2.031,4
63,0,51349,Nico Echavarria,-0.162,-0.649,1.931,-2.580,4
63,0,24024,Zach Johnson,-0.162,-0.649,-2.430,1.781,4
66,0,52453,Nicolai Højgaard,-0.412,-1.649,1.945,-3.594,4
67,0,48084,Wesley Bryan,-0.662,-2.649,1.408,-4.057,4
67,0,29936,Ryan Fox,-0.662,-2.649,-2.238,-.411,4
67,-6,59095,Chris Gotterup,-0.662,-2.649,1.848,-4.497,4
67,0,27129,Luke List,-0.662,-2.649,-6.987,4.338,4
67,0,57900,Chandler Phillips,-0.662,-2.649,-5.574,2.925,4
72,0,22371,Aaron Baddeley,-0.912,-3.649,-6.404,2.755,4
72,-49,40250,Taylor Pendrith,-0.912,-3.649,1.568,-5.217,4
74,-4,34466,Peter Malnati,-1.162,-4.649,-4.531,-.118,4
