RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46414,Aaron Rai,3.476,13.902,11.343,2.560,4
2,0,51977,Max Greyserman,2.976,11.902,5.502,6.401,4
3,0,51287,Ryo Hisatsune,2.726,10.902,6.593,4.310,4
3,0,39324,J.J. Spaun,2.726,10.902,9.066,1.837,4
5,0,66743,Luke Clanton,2.476,9.902,9.252,.651,4
6,0,57362,Austin Eckroat,2.226,8.902,4.388,4.515,4
7,0,47591,Eric Cole,1.976,7.902,5.216,2.687,4
7,0,52514,Trace Crowe,1.976,7.902,4.912,2.991,4
7,0,54591,Ben Griffin,1.976,7.902,6.981,.922,4
7,0,29420,Billy Horschel,1.976,7.902,4.061,3.842,4
7,0,40115,Adam Svensson,1.976,7.902,1.022,6.881,4
12,0,60004,Jacob Bridgeman,1.726,6.902,4.506,2.397,4
12,0,12716,Charley Hoffman,1.726,6.902,5.458,1.445,4
12,0,35461,Beau Hossler,1.726,6.902,3.983,2.920,4
12,0,34587,Chan Kim,1.726,6.902,7.427,-.524,4
12,0,23108,Matt Kuchar,1.726,6.902,-.508,7.411,4
12,0,59143,Mac Meissner,1.726,6.902,2.425,4.478,4
12,0,39546,Keith Mitchell,1.726,6.902,3.589,3.314,4
12,0,33486,Roger Sloan,1.726,6.902,3.655,3.248,4
12,0,58168,Davis Thompson,1.726,6.902,4.408,2.495,4
12,0,30927,Brendon Todd,1.726,6.902,2.196,4.707,4
22,0,45522,Christiaan Bezuidenhout,1.476,5.902,5.787,.116,4
22,0,33141,Keegan Bradley,1.476,5.902,6.169,-.266,4
22,0,51349,Nico Echavarria,1.476,5.902,3.977,1.926,4
22,0,59095,Chris Gotterup,1.476,5.902,.872,5.031,4
22,0,51696,Rico Hoey,1.476,5.902,2.542,3.361,4
22,0,57366,Cameron Young,1.476,5.902,8.591,-2.688,4
28,0,33399,Adam Hadwin,1.226,4.902,6.402,-1.499,4
28,0,35506,Mackenzie Hughes,1.226,4.902,-.266,5.169,4
28,0,28252,Seamus Power,1.226,4.902,3.690,1.213,4
28,0,48887,Matt Wallace,1.226,4.902,.763,4.140,4
28,0,31323,Gary Woodland,1.226,4.902,2.163,2.740,4
33,0,24024,Zach Johnson,0.976,3.902,.146,3.757,4
33,0,40162,Justin Lower,0.976,3.902,2.269,1.634,4
33,0,47993,Denny McCarthy,0.976,3.902,5.590,-1.687,4
33,0,47679,Victor Perez,0.976,3.902,1.644,2.259,4
33,0,36699,Patrick Rodgers,0.976,3.902,2.365,1.538,4
38,0,47988,Nick Hardy,0.726,2.902,6.045,-3.142,4
38,0,57900,Chandler Phillips,0.726,2.902,6.135,-3.232,4
38,0,47995,Davis Riley,0.726,2.902,-.295,3.198,4
41,0,29535,Brice Garnett,0.476,1.902,3.413,-1.510,4
41,0,52375,Doug Ghim,0.476,1.902,2.633,-.730,4
41,0,39971,Sungjae Im,0.476,1.902,-1.633,3.536,4
41,0,32791,K.H. Lee,0.476,1.902,-1.183,3.086,4
45,0,40026,Daniel Berger,0.226,0.902,-.656,1.559,4
45,0,40058,Zac Blair,0.226,0.902,.117,.786,4
45,0,52372,Cameron Champ,0.226,0.902,-.036,.939,4
45,0,27644,Brian Harman,0.226,0.902,-1.017,1.920,4
45,0,46442,Maverick McNealy,0.226,0.902,-.442,1.345,4
45,0,26596,Ryan Moore,0.226,0.902,2.768,-1.865,4
45,0,35617,Martin Trainer,0.226,0.902,-2.689,3.592,4
52,0,32367,Jorge Campillo,-0.025,-0.098,-5.103,5.006,4
52,0,49947,Taylor Moore,-0.025,-0.098,.111,-.208,4
52,0,51997,Andrew Novak,-0.025,-0.098,5.170,-5.267,4
52,0,47983,Chad Ramey,-0.025,-0.098,-.910,.813,4
52,0,50493,Justin Suh,-0.025,-0.098,-4.959,4.862,4
52,0,48119,Ben Taylor,-0.025,-0.098,-1.946,1.849,4
52,0,32333,Kevin Tway,-0.025,-0.098,.380,-.477,4
59,0,31646,Emiliano Grillo,-0.275,-1.098,-1.169,.072,4
59,0,28775,Nate Lashley,-0.275,-1.098,-.679,-.418,4
61,0,59836,Pierceson Coody,-0.525,-2.098,-4.069,1.972,4
61,0,27064,Jhonattan Vegas,-0.525,-2.098,2.982,-5.079,4
63,0,51894,Vince Whaley,-0.775,-3.098,-6.488,3.391,4
64,0,34076,Joel Dahmen,-1.025,-4.098,.809,-4.906,4
64,0,48867,Matti Schmid,-1.025,-4.098,-1.046,-3.051,4
66,0,50188,S.H. Kim,-2.525,-10.098,-17.383,7.286,4
