RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,28237,Rory McIlroy,4.982,19.926,15.643,4.282,4
2,0,48081,Xander Schauffele,3.732,14.926,13.993,.932,4
3,1,33948,Byeong Hun An,2.982,11.926,3.937,7.988,4
4,55,28089,Jason Day,2.232,8.926,5.235,3.690,4
4,0,39971,Sungjae Im,2.232,8.926,2.867,6.058,4
6,35,35506,Mackenzie Hughes,1.982,7.926,1.388,6.537,4
6,0,47993,Denny McCarthy,1.982,7.926,3.005,4.920,4
8,0,39977,Max Homa,1.732,6.926,5.765,1.160,4
8,0,49960,Sepp Straka,1.732,6.926,4.233,2.692,4
10,0,34098,Russell Henley,1.482,5.926,3.910,2.015,4
10,0,34213,Grayson Murray,1.482,5.926,2.919,3.006,4
10,-9,40250,Taylor Pendrith,1.482,5.926,2.263,3.662,4
13,0,47504,Sam Burns,1.232,4.926,2.795,2.130,4
13,0,39997,Corey Conners,1.232,4.926,7.459,-2.534,4
13,0,30911,Tommy Fleetwood,1.232,4.926,4.853,.072,4
16,0,45522,Christiaan Bezuidenhout,0.982,3.926,1.897,2.028,4
16,0,25900,Lucas Glover,0.982,3.926,6.775,-2.850,4
16,-3,37455,Si Woo Kim,0.982,3.926,9.076,-5.151,4
16,0,50525,Collin Morikawa,0.982,3.926,.867,3.058,4
16,0,28252,Seamus Power,0.982,3.926,7.683,-3.758,4
21,0,33141,Keegan Bradley,0.732,2.926,3.108,-.183,4
21,-1,36799,Stephan Jaeger,0.732,2.926,-.812,3.737,4
21,0,33448,Justin Thomas,0.732,2.926,3.358,-.433,4
24,6,59866,Nick Dunlap,0.482,1.926,1.523,.402,4
24,0,54628,Lee Hodges,0.482,1.926,-.430,2.355,4
24,0,46717,Viktor Hovland,0.482,1.926,3.183,-1.258,4
24,-21,27349,Alex Noren,0.482,1.926,5.851,-3.926,4
24,0,29221,Webb Simpson,0.482,1.926,3.672,-1.747,4
29,0,35450,Patrick Cantlay,0.232,0.926,-.232,1.157,4
29,0,34256,Andrew Putnam,0.232,0.926,-2.459,3.384,4
29,0,36699,Patrick Rodgers,0.232,0.926,4.643,-3.718,4
29,1,24502,Adam Scott,0.232,0.926,.994,-.069,4
29,0,34046,Jordan Spieth,0.232,0.926,.626,.299,4
34,0,34099,Harris English,-0.019,-0.074,-3.193,3.118,4
34,0,48117,Kurt Kitayama,-0.019,-0.074,3.268,-3.343,4
34,0,23108,Matt Kuchar,-0.019,-0.074,-4.579,4.504,4
34,0,57366,Cameron Young,-0.019,-0.074,-.395,.320,4
38,0,45157,Cam Davis,-0.269,-1.074,-1.955,.880,4
38,3,35532,Tom Hoge,-0.269,-1.074,-1.757,.682,4
38,0,49947,Taylor Moore,-0.269,-1.074,-1.690,.615,4
38,0,31323,Gary Woodland,-0.269,-1.074,-7.406,6.331,4
42,0,56630,Akshay Bhatia,-0.519,-2.074,-7.970,5.895,4
43,0,32102,Rickie Fowler,-0.769,-3.074,-3.009,-.066,4
43,0,30926,Chris Kirk,-0.769,-3.074,1.058,-4.133,4
43,0,25493,Nick Taylor,-0.769,-3.074,-.399,-2.676,4
43,-34,32333,Kevin Tway,-0.769,-3.074,-1.114,-1.961,4
47,0,51766,Wyndham Clark,-1.019,-4.074,-1.412,-2.663,4
47,0,27644,Brian Harman,-1.019,-4.074,-2.909,-1.166,4
47,5,55182,Tom Kim,-1.019,-4.074,-1.944,-2.131,4
47,0,33204,Shane Lowry,-1.019,-4.074,1.697,-5.772,4
47,0,40115,Adam Svensson,-1.019,-4.074,4.289,-8.364,4
52,0,29725,Tony Finau,-1.269,-5.074,-3.657,-1.418,4
52,0,40098,Matthew Fitzpatrick,-1.269,-5.074,-3.026,-2.049,4
52,0,33399,Adam Hadwin,-1.269,-5.074,-.975,-4.100,4
52,0,29420,Billy Horschel,-1.269,-5.074,-5.519,.444,4
52,0,22405,Justin Rose,-1.269,-5.074,-.446,-4.629,4
52,0,51634,Sahith Theegala,-1.269,-5.074,-3.648,-1.427,4
58,-50,47420,Jake Knapp,-1.519,-6.074,-4.234,-1.841,4
58,-56,36884,Ben Kohles,-1.519,-6.074,-5.055,-1.020,4
60,0,49771,J.T. Poston,-1.769,-7.074,-3.808,-3.267,4
60,0,30927,Brendon Todd,-1.769,-7.074,-9.111,2.036,4
60,0,47483,Will Zalatoris,-1.769,-7.074,-3.690,-3.385,4
63,0,57362,Austin Eckroat,-2.019,-8.074,-8.070,-.005,4
64,0,31646,Emiliano Grillo,-2.269,-9.074,-3.015,-6.060,4
64,-51,47347,Adam Schenk,-2.269,-9.074,-10.537,1.462,4
66,0,34466,Peter Malnati,-2.769,-11.074,-10.074,-1.001,4
67,0,48153,Matthieu Pavon,-3.519,-14.074,-11.457,-2.618,4
68,0,47591,Eric Cole,-3.769,-15.074,-13.946,-1.129,4
