RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,32839,Hideki Matsuyama,3.196,12.785,4.584,8.201,4
2,0,46717,Viktor Hovland,2.696,10.785,7.473,3.312,4
2,0,48081,Xander Schauffele,2.696,10.785,6.402,4.383,4
4,0,46046,Scottie Scheffler,2.446,9.785,7.881,1.904,4
5,0,47504,Sam Burns,2.196,8.785,1.654,7.131,4
5,0,59866,Nick Dunlap,2.196,8.785,5.239,3.546,4
7,0,51766,Wyndham Clark,1.946,7.785,4.890,2.895,4
7,0,52215,Robert MacIntyre,1.946,7.785,2.406,5.379,4
9,24,47993,Denny McCarthy,1.696,6.785,-.038,6.823,4
10,-3,29420,Billy Horschel,1.446,5.785,4.701,1.084,4
10,18,28252,Seamus Power,1.446,5.785,1.882,3.903,4
12,0,56630,Akshay Bhatia,1.196,4.785,-.015,4.800,4
12,0,35450,Patrick Cantlay,1.196,4.785,3.175,1.610,4
12,33,46442,Maverick McNealy,1.196,4.785,2.805,1.980,4
12,0,47483,Will Zalatoris,1.196,4.785,2.728,2.057,4
16,0,29725,Tony Finau,0.946,3.785,3.890,-.105,4
16,-15,46414,Aaron Rai,0.946,3.785,8.472,-4.687,4
18,-11,47591,Eric Cole,0.696,2.785,2.255,.530,4
18,-12,57362,Austin Eckroat,0.696,2.785,2.223,.562,4
18,0,40098,Matt Fitzpatrick,0.696,2.785,-.896,3.681,4
18,0,24502,Adam Scott,0.696,2.785,1.562,1.223,4
22,0,45522,Christiaan Bezuidenhout,0.446,1.785,2.392,-.607,4
22,0,28089,Jason Day,0.446,1.785,1.646,.139,4
22,0,30911,Tommy Fleetwood,0.446,1.785,9.762,-7.977,4
22,0,37378,Min Woo Lee,0.446,1.785,2.712,-.927,4
22,0,50525,Collin Morikawa,0.446,1.785,-.933,2.718,4
22,0,40250,Taylor Pendrith,0.446,1.785,1.341,.444,4
22,0,22405,Justin Rose,0.446,1.785,3.480,-1.695,4
22,-10,30927,Brendon Todd,0.446,1.785,-4.395,6.180,4
30,0,34098,Russell Henley,0.196,0.785,-.709,1.494,4
30,0,27349,Alex Noren,0.196,0.785,-.388,1.173,4
30,0,33448,Justin Thomas,0.196,0.785,4.107,-3.322,4
33,0,33948,Byeong Hun An,-0.054,-0.215,1.933,-2.148,4
33,-31,51977,Max Greyserman,-0.054,-0.215,-2.683,2.468,4
33,26,31646,Emiliano Grillo,-0.054,-0.215,3.988,-4.203,4
33,0,49771,J.T. Poston,-0.054,-0.215,-.795,.580,4
33,0,36699,Patrick Rodgers,-0.054,-0.215,-1.714,1.499,4
33,-21,58168,Davis Thompson,-0.054,-0.215,.616,-.831,4
33,0,40006,Erik van Rooyen,-0.054,-0.215,2.424,-2.639,4
40,0,52955,Ludvig Åberg,-0.304,-1.215,-.991,-.224,4
40,0,45157,Cam Davis,-0.304,-1.215,-2.261,1.046,4
40,1,39971,Sungjae Im,-0.304,-1.215,-3.331,2.116,4
40,0,36799,Stephan Jaeger,-0.304,-1.215,-2.536,1.321,4
40,-7,47679,Victor Perez,-0.304,-1.215,-1.810,.595,4
40,21,27064,Jhonattan Vegas,-0.304,-1.215,.394,-1.609,4
46,0,33653,Thomas Detry,-0.554,-2.215,-1.004,-1.211,4
46,0,35532,Tom Hoge,-0.554,-2.215,.410,-2.625,4
46,0,48153,Matthieu Pavon,-0.554,-2.215,-1.710,-.505,4
46,0,51634,Sahith Theegala,-0.554,-2.215,-1.996,-.219,4
50,0,39997,Corey Conners,-0.804,-3.215,-2.986,-.229,4
50,-43,54591,Ben Griffin,-0.804,-3.215,-2.507,-.708,4
50,-22,33399,Adam Hadwin,-0.804,-3.215,-4.310,1.095,4
50,-5,27644,Brian Harman,-0.804,-3.215,-.478,-2.737,4
50,0,37455,Si Woo Kim,-0.804,-3.215,-7.072,3.857,4
50,0,55182,Tom Kim,-0.804,-3.215,2.079,-5.294,4
50,0,30926,Chris Kirk,-0.804,-3.215,-1.158,-2.057,4
50,0,33204,Shane Lowry,-0.804,-3.215,1.182,-4.397,4
58,-30,35506,Mackenzie Hughes,-1.054,-4.215,-5.710,1.495,4
59,-37,33141,Keegan Bradley,-1.304,-5.215,-3.884,-1.331,4
59,0,34466,Peter Malnati,-1.304,-5.215,-4.056,-1.159,4
61,0,34099,Harris English,-1.554,-6.215,-7.104,.889,4
61,0,36801,Mark Hubbard,-1.554,-6.215,-.556,-5.659,4
61,0,49960,Sepp Straka,-1.554,-6.215,-2.986,-3.229,4
61,-39,57366,Cameron Young,-1.554,-6.215,-2.758,-3.457,4
65,0,25493,Nick Taylor,-1.804,-7.215,-3.442,-3.773,4
66,-14,49947,Taylor Moore,-2.054,-8.215,-2.277,-5.938,4
67,0,47420,Jake Knapp,-2.554,-10.215,-5.186,-5.029,4
68,0,28237,Rory McIlroy,-3.304,-13.215,-5.382,-7.833,4
68,0,34046,Jordan Spieth,-3.304,-13.215,-10.671,-2.544,4
70,0,39977,Max Homa,-3.804,-15.215,-11.989,-3.226,4
