RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,51766,Wyndham Clark,5.725,11.450,4.534,6.917,2
2,-1,48153,Matthieu Pavon,4.538,9.075,5.392,3.683,2
3,6,52955,Ludvig Åberg,3.225,6.450,3.722,2.729,2
3,46,35532,Tom Hoge,3.225,6.450,3.255,3.196,2
5,9,36801,Mark Hubbard,3.038,6.075,1.281,4.794,2
6,0,47591,Eric Cole,2.538,5.075,4.116,.959,2
6,0,37455,Si Woo Kim,2.538,5.075,5.751,-.676,2
8,0,28089,Jason Day,2.225,4.450,3.808,.643,2
8,0,46046,Scottie Scheffler,2.225,4.450,3.614,.837,2
10,0,48117,Kurt Kitayama,2.038,4.075,6.742,-2.667,2
10,0,50525,Collin Morikawa,2.038,4.075,3.466,.609,2
12,37,33141,Keegan Bradley,1.725,3.450,1.942,1.509,2
12,-6,52453,Nicolai Højgaard,1.725,3.450,2.176,1.275,2
12,0,24502,Adam Scott,1.725,3.450,4.252,-.801,2
12,0,33448,Justin Thomas,1.725,3.450,5.762,-2.311,2
16,0,45522,Christiaan Bezuidenhout,1.538,3.075,1.050,2.025,2
16,0,40006,Erik van Rooyen,1.538,3.075,2.614,.461,2
18,0,47504,Sam Burns,1.225,2.450,-.732,3.183,2
19,2,47988,Nick Hardy,1.038,2.075,-.201,2.276,2
19,0,39971,Sungjae Im,1.038,2.075,.149,1.926,2
19,0,34466,Peter Malnati,1.038,2.075,-.704,2.779,2
19,0,47993,Denny McCarthy,1.038,2.075,-.257,2.332,2
19,0,40115,Adam Svensson,1.038,2.075,3.436,-1.361,2
24,0,45157,Cam Davis,0.725,1.450,5.169,-3.718,2
24,-20,35461,Beau Hossler,0.725,1.450,-.733,2.184,2
24,0,30926,Chris Kirk,0.725,1.450,1.061,.390,2
24,0,49771,J.T. Poston,0.725,1.450,-.949,2.400,2
24,29,22405,Justin Rose,0.725,1.450,-.586,2.037,2
24,9,47347,Adam Schenk,0.725,1.450,-.667,2.118,2
24,15,51634,Sahith Theegala,0.725,1.450,-1.266,2.717,2
31,-14,29725,Tony Finau,0.538,1.075,4.867,-3.792,2
31,0,25900,Lucas Glover,0.538,1.075,2.519,-1.444,2
31,28,50188,S.H. Kim,0.538,1.075,-.246,1.321,2
31,-17,55789,Taylor Montgomery,0.538,1.075,-2.541,3.616,2
31,0,39324,J.J. Spaun,0.538,1.075,-.866,1.941,2
31,0,25493,Nick Taylor,0.538,1.075,-.833,1.908,2
37,0,33948,Byeong Hun An,0.225,0.450,-1.501,1.952,2
37,0,39546,Keith Mitchell,0.225,0.450,.664,-.213,2
37,0,34256,Andrew Putnam,0.225,0.450,-2.964,3.415,2
37,0,34046,Jordan Spieth,0.225,0.450,3.384,-2.933,2
41,0,34098,Russell Henley,0.038,0.075,3.325,-3.250,2
41,0,23108,Matt Kuchar,0.038,0.075,.661,-.586,2
41,0,27349,Alex Noren,0.038,0.075,.333,-.258,2
41,0,28252,Seamus Power,0.038,0.075,-3.825,3.900,2
41,-29,48081,Xander Schauffele,0.038,0.075,.651,-.576,2
41,0,30927,Brendon Todd,0.038,0.075,.305,-.230,2
47,0,39997,Corey Conners,-0.275,-0.550,.748,-1.297,2
47,-13,33653,Thomas Detry,-0.275,-0.550,-1.630,1.081,2
47,0,49960,Sepp Straka,-0.275,-0.550,.753,-1.302,2
50,-44,39977,Max Homa,-0.463,-0.925,-.402,-.523,2
50,9,27129,Luke List,-0.463,-0.925,-.308,-.617,2
50,-6,46442,Maverick McNealy,-0.463,-0.925,-1.936,1.011,2
50,0,52374,Brandon Wu,-0.463,-0.925,-3.981,3.056,2
54,0,30911,Tommy Fleetwood,-0.775,-1.550,.053,-1.602,2
54,-26,31646,Emiliano Grillo,-0.775,-1.550,-6.098,4.549,2
54,0,27644,Brian Harman,-0.775,-1.550,1.872,-3.421,2
54,-1,35506,Mackenzie Hughes,-0.775,-1.550,-.425,-1.124,2
58,0,55182,Tom Kim,-0.963,-1.925,-.980,-.945,2
58,0,37275,Sam Ryder,-0.963,-1.925,.273,-2.198,2
58,0,29221,Webb Simpson,-0.963,-1.925,-.263,-1.662,2
61,11,35450,Patrick Cantlay,-1.275,-2.550,-2.636,.087,2
61,-33,32839,Hideki Matsuyama,-1.275,-2.550,-.199,-2.350,2
61,-2,49947,Taylor Moore,-1.275,-2.550,-4.030,1.481,2
61,0,34213,Grayson Murray,-1.275,-2.550,-1.519,-1.030,2
61,-33,45242,Kevin Yu,-1.275,-2.550,3.758,-6.307,2
66,0,33399,Adam Hadwin,-1.463,-2.925,-1.674,-1.251,2
67,1,34099,Harris English,-1.963,-3.925,-.650,-3.275,2
68,0,54628,Lee Hodges,-2.275,-4.550,-1.173,-3.376,2
68,-47,36799,Stephan Jaeger,-2.275,-4.550,-3.840,-.709,2
68,0,28237,Rory McIlroy,-2.275,-4.550,-2.372,-2.177,2
71,0,55708,Hayden Buckley,-2.463,-4.925,-4.802,-.123,2
71,0,40098,Matt Fitzpatrick,-2.463,-4.925,-2.635,-2.290,2
73,0,32102,Rickie Fowler,-2.775,-5.550,-.905,-4.644,2
73,0,46717,Viktor Hovland,-2.775,-5.550,-4.907,-.642,2
73,0,57366,Cameron Young,-2.775,-5.550,-2.542,-3.007,2
76,0,54591,Ben Griffin,-2.963,-5.925,-.190,-5.735,2
77,-39,36699,Patrick Rodgers,-3.463,-6.925,-5.323,-1.602,2
78,0,59866,Nick Dunlap,-4.463,-8.925,-6.865,-2.060,2
78,0,46340,Alex Smalley,-4.463,-8.925,-7.802,-1.123,2
80,0,47995,Davis Riley,-5.275,-10.550,-8.457,-2.092,2
