RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,4.123,16.492,12.145,4.348,4
2,0,51766,Wyndham Clark,2.873,11.492,6.607,4.886,4
3,1,33204,Shane Lowry,2.623,10.492,9.830,.663,4
4,37,34098,Russell Henley,2.123,8.492,2.887,5.606,4
4,0,47483,Will Zalatoris,2.123,8.492,7.230,1.263,4
6,0,51634,Sahith Theegala,1.623,6.492,5.169,1.324,4
6,0,30927,Brendon Todd,1.623,6.492,.582,5.911,4
8,13,33948,Byeong Hun An,1.373,5.492,5.109,.384,4
8,0,31646,Emiliano Grillo,1.373,5.492,2.531,2.962,4
8,0,39977,Max Homa,1.373,5.492,.028,5.465,4
8,0,34256,Andrew Putnam,1.373,5.492,6.090,-.597,4
12,0,27644,Brian Harman,1.123,4.492,6.589,-2.096,4
12,0,54628,Lee Hodges,1.123,4.492,1.208,3.285,4
12,16,35532,Tom Hoge,1.123,4.492,9.252,-4.759,4
12,0,32839,Hideki Matsuyama,1.123,4.492,3.703,.790,4
12,0,25493,Nick Taylor,1.123,4.492,2.432,2.061,4
12,0,33448,Justin Thomas,1.123,4.492,3.905,.588,4
18,23,39997,Corey Conners,0.873,3.492,5.213,-1.720,4
18,0,45157,Cam Davis,0.873,3.492,1.872,1.621,4
18,0,39971,Sungjae Im,0.873,3.492,3.488,.005,4
21,0,47591,Eric Cole,0.623,2.492,-.260,2.753,4
21,0,34099,Harris English,0.623,2.492,1.476,1.017,4
21,0,28237,Rory McIlroy,0.623,2.492,.928,1.565,4
21,0,28252,Seamus Power,0.623,2.492,2.504,-.011,4
25,0,52955,Ludvig Åberg,0.373,1.492,-2.215,3.708,4
25,0,34213,Grayson Murray,0.373,1.492,1.568,-.075,4
25,0,36699,Patrick Rodgers,0.373,1.492,-.049,1.542,4
25,0,48081,Xander Schauffele,0.373,1.492,1.862,-.369,4
25,-23,40006,Erik van Rooyen,0.373,1.492,1.880,-.387,4
30,0,47504,Sam Burns,0.123,0.492,-1.790,2.283,4
30,5,25900,Lucas Glover,0.123,0.492,3.628,-3.135,4
30,0,35506,Mackenzie Hughes,0.123,0.492,1.791,-1.298,4
30,0,37455,Si Woo Kim,0.123,0.492,9.099,-8.606,4
30,0,29221,Webb Simpson,0.123,0.492,.142,.351,4
30,0,34046,Jordan Spieth,0.123,0.492,-1.392,1.885,4
36,0,33141,Keegan Bradley,-0.127,-0.508,-2.476,1.969,4
36,0,35450,Patrick Cantlay,-0.127,-0.508,-3.409,2.902,4
36,0,28089,Jason Day,-0.127,-0.508,-2.430,1.923,4
36,-35,57362,Austin Eckroat,-0.127,-0.508,1.378,-1.885,4
36,5,32102,Rickie Fowler,-0.127,-0.508,-.628,.121,4
36,0,46717,Viktor Hovland,-0.127,-0.508,-1.160,.653,4
36,0,40162,Justin Lower,-0.127,-0.508,-.035,-.472,4
36,-32,57366,Cameron Young,-0.127,-0.508,3.579,-4.086,4
44,0,45522,Christiaan Bezuidenhout,-0.377,-1.508,-2.100,.593,4
44,0,36799,Stephan Jaeger,-0.377,-1.508,1.655,-3.162,4
44,-16,30926,Chris Kirk,-0.377,-1.508,3.217,-4.724,4
44,-42,37378,Min Woo Lee,-0.377,-1.508,2.072,-3.579,4
48,5,59866,Nick Dunlap,-0.627,-2.508,-4.727,2.220,4
48,0,47993,Denny McCarthy,-0.627,-2.508,-5.268,2.761,4
48,0,49947,Taylor Moore,-0.627,-2.508,-3.200,.693,4
51,-23,29908,C.T. Pan,-0.877,-3.508,-4.293,.786,4
52,0,33399,Adam Hadwin,-1.127,-4.508,-.071,-4.436,4
52,10,55182,Tom Kim,-1.127,-4.508,-3.025,-1.482,4
52,-24,48153,Matthieu Pavon,-1.127,-4.508,-5.059,.552,4
55,11,49771,J.T. Poston,-1.627,-6.508,-3.142,-3.365,4
56,0,27129,Luke List,-2.127,-8.508,-3.224,-5.283,4
57,-53,47420,Jake Knapp,-2.627,-10.508,-10.002,-.505,4
57,0,49960,Sepp Straka,-2.627,-10.508,-9.085,-1.422,4
