RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,67,34466,Peter Malnati,3.387,13.547,5.187,8.359,4
2,52,57366,Cameron Young,2.887,11.547,9.155,2.391,4
3,23,35506,Mackenzie Hughes,2.637,10.547,.931,9.615,4
3,0,57900,Chandler Phillips,2.637,10.547,4.690,5.856,4
5,0,33399,Adam Hadwin,2.387,9.547,3.610,5.936,4
5,40,26596,Ryan Moore,2.387,9.547,10.882,-1.336,4
5,-3,48081,Xander Schauffele,2.387,9.547,8.241,1.305,4
5,0,55454,Carl Yuan,2.387,9.547,8.912,.634,4
9,4,45522,Christiaan Bezuidenhout,2.137,8.547,4.352,4.194,4
9,0,32791,K.H. Lee,2.137,8.547,4.140,4.406,4
11,0,25900,Lucas Glover,1.887,7.547,6.670,.876,4
12,0,29420,Billy Horschel,1.637,6.547,4.913,1.633,4
12,19,49947,Taylor Moore,1.637,6.547,7.309,-.763,4
12,0,26476,Chez Reavie,1.637,6.547,3.821,2.725,4
12,0,39335,Kevin Roy,1.637,6.547,4.989,1.557,4
12,0,30692,Scott Stallings,1.637,6.547,6.379,.167,4
17,0,22371,Aaron Baddeley,1.387,5.547,.743,4.803,4
17,0,56630,Akshay Bhatia,1.387,5.547,1.911,3.635,4
17,0,34255,Joseph Bramlett,1.387,5.547,8.193,-2.647,4
17,45,33653,Thomas Detry,1.387,5.547,4.328,1.218,4
17,0,54591,Ben Griffin,1.387,5.547,.648,4.898,4
17,56,39546,Keith Mitchell,1.387,5.547,9.696,-4.150,4
17,0,51997,Andrew Novak,1.387,5.547,4.440,1.106,4
17,9,48867,Matti Schmid,1.387,5.547,1.303,4.243,4
17,0,48887,Matt Wallace,1.387,5.547,3.182,2.364,4
26,0,55930,Fred Biondi,1.137,4.547,2.317,2.229,4
26,0,52372,Cameron Champ,1.137,4.547,-3.379,7.925,4
26,9,54628,Lee Hodges,1.137,4.547,1.939,2.607,4
26,0,59143,Mac Meissner,1.137,4.547,2.678,1.868,4
26,38,28252,Seamus Power,1.137,4.547,2.624,1.922,4
26,0,27214,Kevin Streelman,1.137,4.547,5.838,-1.292,4
26,-7,54783,Dylan Wu,1.137,4.547,.732,3.814,4
33,0,20229,Stewart Cink,0.887,3.547,2.439,1.107,4
33,0,47591,Eric Cole,0.887,3.547,5.295,-1.749,4
33,0,51977,Max Greyserman,0.887,3.547,1.816,1.730,4
33,0,51287,Ryo Hisatsune,0.887,3.547,3.054,.492,4
33,0,39975,Michael Kim,0.887,3.547,.613,2.933,4
33,0,52215,Robert MacIntyre,0.887,3.547,.996,2.550,4
33,-17,37275,Sam Ryder,0.887,3.547,-7.050,10.596,4
33,-14,47347,Adam Schenk,0.887,3.547,1.617,1.929,4
33,0,46441,Robby Shelton,0.887,3.547,7.186,-3.640,4
33,0,50493,Justin Suh,0.887,3.547,-.660,4.206,4
33,0,30927,Brendon Todd,0.887,3.547,.387,3.159,4
33,0,48319,Tom Whitney,0.887,3.547,2.412,1.134,4
45,0,47663,Kevin Dougherty,0.637,2.547,-.532,3.078,4
45,-36,46442,Maverick McNealy,0.637,2.547,1.319,1.227,4
45,0,51890,Greyson Sigg,0.637,2.547,1.801,.745,4
45,9,52666,Sami Valimaki,0.637,2.547,-.797,3.343,4
49,0,32367,Jorge Campillo,0.387,1.547,4.454,-2.908,4
49,-38,34076,Joel Dahmen,0.387,1.547,5.142,-3.596,4
49,0,23108,Matt Kuchar,0.387,1.547,-5.142,6.688,4
49,0,33486,Roger Sloan,0.387,1.547,.332,1.214,4
49,0,40115,Adam Svensson,0.387,1.547,7.574,-6.028,4
54,0,34310,Alexander Björk,0.137,0.547,-5.321,5.867,4
54,0,51696,Rico Hoey,0.137,0.547,-.424,.970,4
54,0,23320,Ryan Palmer,0.137,0.547,3.884,-3.338,4
54,0,29221,Webb Simpson,0.137,0.547,4.738,-4.192,4
54,0,51894,Vince Whaley,0.137,0.547,-3.834,4.380,4
54,0,54328,Norman Xiong,0.137,0.547,-4.585,5.131,4
54,0,52513,Carson Young,0.137,0.547,.803,-.257,4
61,0,55708,Hayden Buckley,-0.113,-0.453,2.876,-3.330,4
61,0,59095,Chris Gotterup,-0.113,-0.453,-1.936,1.482,4
61,0,50188,S.H. Kim,-0.113,-0.453,1.668,-2.122,4
64,0,55893,Sam Stevens,-0.363,-1.453,-2.525,1.071,4
64,-38,25493,Nick Taylor,-0.363,-1.453,-.111,-1.343,4
64,0,33448,Justin Thomas,-0.363,-1.453,3.468,-4.922,4
67,0,59442,Parker Coody,-0.613,-2.453,-.806,-1.648,4
67,-51,52375,Doug Ghim,-0.613,-2.453,-.394,-2.060,4
67,0,57975,Harry Hall,-0.613,-2.453,1.587,-4.041,4
67,1,34587,Chan Kim,-0.613,-2.453,-.843,-1.611,4
67,-36,33413,Ben Martin,-0.613,-2.453,1.027,-3.481,4
72,0,28420,Ryan Brehm,-0.863,-3.453,-4.404,.950,4
72,0,50484,Hayden Springer,-0.863,-3.453,-3.537,.083,4
72,0,48699,Callum Tarren,-0.863,-3.453,-8.619,5.165,4
75,0,29268,Bronson Burgoon,-2.113,-8.453,-7.505,-.949,4
75,0,27139,David Skinns,-2.113,-8.453,-.266,-8.188,4
75,0,38991,Alejandro Tosti,-2.113,-8.453,-.763,-7.691,4
